GEO_ID_long,GEO_ID,STATEFIP,COUNTYFIP,CountyNAME,TotalPopulation_2010,Hispanic_2010,NonHispanic_2010,PopulationofOneRace_2010,Whitealone_2010,Blackalon_2010,AIANalone_2010,Asianalone_2010,NativeHawaiianPIalone_2010,SomeOtherRace_2010,Mixed_2010,DiversityIndex2010,GEOID,NAME,TotalPopulation_2020,Hispanic_2020,NonHispanic_2020,PopulationofOneRace_2020,Whitealone_2020,Blackalon_2020,AIANalone_2020,Asianalone_2020,NativeHawaiianPIalone_2020,SomeOtherRace_2020,Mixed_2020,DiversityIndex2020,ChangeDiversityIndex,RateChangeDiversityIndex,ChangeDiversityIndexPercent,RateChangeDiversityIndexPercent
0500000US01001,01001,1,1,"Autauga County, Alabama",54571,1310,53261,52500,42154,9595,217,467,22,45,761,0.372,0500000US01001,Autauga County,58805,2117,56688,54198,41582,11352,184,873,22,185,2490,0.459,0.088,0.236,8.8%,23.6%
0500000US01003,01003,1,3,"Baldwin County, Alabama",182265,7992,174273,171976,152200,16966,1146,1340,79,245,2297,0.292,0500000US01003,Baldwin County,231767,12686,219081,208713,186495,18001,1291,2029,122,775,10368,0.341,0.050,0.170,5.0%,17.0%
0500000US01005,01005,1,5,"Barbour County, Alabama",27457,1387,26070,25861,12837,12820,60,107,24,13,209,0.561,0500000US01005,Barbour County,25223,1510,23713,23160,11086,11850,58,103,0,63,553,0.582,0.021,0.038,2.1%,3.8%
0500000US01007,01007,1,7,"Bibb County, Alabama",22915,406,22509,22328,17191,5024,64,22,7,20,181,0.389,0500000US01007,Bibb County,22293,740,21553,20953,16442,4390,39,26,9,47,600,0.415,0.027,0.069,2.7%,6.9%
0500000US01009,01009,1,9,"Blount County, Alabama",57322,4626,52696,52129,50952,724,285,115,18,35,567,0.203,0500000US01009,Blount County,59134,5771,53363,51063,49764,826,188,174,11,100,2300,0.281,0.077,0.381,7.7%,38.1%
0500000US01011,01011,1,11,"Bullock County, Alabama",10914,777,10137,10078,2392,7637,20,20,4,5,59,0.457,0500000US01011,Bullock County,10357,503,9854,9717,2281,7388,1,9,7,31,137,0.440,-0.017,-0.037,-1.7%,-3.7%
0500000US01013,01013,1,13,"Butler County, Alabama",20947,191,20756,20614,11324,9047,59,174,7,3,142,0.521,0500000US01013,Butler County,19051,260,18791,18285,9679,8389,23,143,5,46,506,0.547,0.026,0.050,2.6%,5.0%
0500000US01015,01015,1,15,"Calhoun County, Alabama",118572,3893,114679,112975,87285,24177,480,830,94,109,1704,0.415,0500000US01015,Calhoun County,116441,5010,111431,106863,79519,25365,386,1164,112,317,4568,0.483,0.067,0.163,6.7%,16.3%
0500000US01017,01017,1,17,"Chambers County, Alabama",34215,536,33679,33352,19893,13206,57,166,7,23,327,0.513,0500000US01017,Chambers County,34772,1237,33535,32639,18616,13441,71,385,11,115,896,0.562,0.049,0.096,4.9%,9.6%
0500000US01019,01019,1,19,"Cherokee County, Alabama",25989,320,25669,25322,23929,1206,122,49,1,15,347,0.150,0500000US01019,Cherokee County,24971,400,24571,23761,22563,987,109,55,1,46,810,0.181,0.031,0.207,3.1%,20.7%
0500000US01021,01021,1,21,"Chilton County, Alabama",43643,3420,40223,39870,35395,4171,134,125,11,34,353,0.327,0500000US01021,Chilton County,45014,4418,40596,39332,34878,4040,112,176,5,121,1264,0.381,0.054,0.166,5.4%,16.6%
0500000US01023,01023,1,23,"Choctaw County, Alabama",13859,73,13786,13730,7700,5990,18,12,0,10,56,0.504,0500000US01023,Choctaw County,12665,113,12552,12312,7039,5217,24,19,0,13,240,0.521,0.017,0.033,1.7%,3.3%
0500000US01025,01025,1,25,"Clarke County, Alabama",25833,271,25562,25406,13943,11280,96,74,4,9,156,0.518,0500000US01025,Clarke County,23087,206,22881,22396,11970,10223,74,91,1,37,485,0.535,0.017,0.032,1.7%,3.2%
0500000US01027,01027,1,27,"Clay County, Alabama",13932,399,13533,13317,11186,2048,55,23,0,5,216,0.333,0500000US01027,Clay County,14236,449,13787,13324,11261,1942,45,46,4,26,463,0.354,0.021,0.063,2.1%,6.3%
0500000US01029,01029,1,29,"Cleburne County, Alabama",14972,307,14665,14528,13956,494,50,23,1,4,137,0.130,0500000US01029,Cleburne County,15056,284,14772,14278,13740,457,42,21,2,16,494,0.165,0.035,0.273,3.5%,27.3%
0500000US01031,01031,1,31,"Coffee County, Alabama",49948,3180,46768,45725,36134,8257,602,629,51,52,1043,0.445,0500000US01031,Coffee County,53465,4887,48578,45951,35759,8643,405,892,57,195,2627,0.515,0.071,0.159,7.1%,15.9%
0500000US01033,01033,1,33,"Colbert County, Alabama",54428,1093,53335,52571,43334,8702,262,224,14,35,764,0.340,0500000US01033,Colbert County,57227,1732,55495,53262,43241,9222,223,432,9,135,2233,0.401,0.061,0.178,6.1%,17.8%
0500000US01035,01035,1,35,"Conecuh County, Alabama",13228,161,13067,12953,6764,6122,44,17,0,6,114,0.524,0500000US01035,Conecuh County,11597,256,11341,11051,5835,5096,71,33,0,16,290,0.553,0.028,0.054,2.8%,5.4%
0500000US01037,01037,1,37,"Coosa County, Alabama",11539,230,11309,11221,7604,3556,40,14,0,7,88,0.470,0500000US01037,Coosa County,10387,201,10186,9887,6807,3000,25,8,0,47,299,0.486,0.016,0.033,1.6%,3.3%
0500000US01039,01039,1,39,"Covington County, Alabama",37765,483,37282,36794,31751,4685,196,148,1,13,488,0.277,0500000US01039,Covington County,37570,654,36916,35671,30657,4563,140,240,0,71,1245,0.318,0.041,0.146,4.1%,14.6%
0500000US01041,01041,1,41,"Crenshaw County, Alabama",13906,204,13702,13509,10020,3241,56,189,1,2,193,0.426,0500000US01041,Crenshaw County,13194,187,13007,12578,9333,3085,48,83,2,27,429,0.444,0.018,0.042,1.8%,4.2%
0500000US01043,01043,1,43,"Cullman County, Alabama",80406,3454,76952,76184,74568,821,397,339,18,41,768,0.138,0500000US01043,Cullman County,87866,4146,83720,80236,78298,914,287,522,64,151,3484,0.202,0.064,0.465,6.4%,46.5%
