state,abbrv,district,id,mov_2018,growth_fb,grew,party,mov_vs_fb,growth_24,mov_vs_fb_24,make_hash,cluster1,cluster2,row,col
Arizona,AZ,2,AZ-2,27917,9850,1,D,18067,25768,2149,0,1,1,1,1
California,CA,10,CA-10,9950,17504,1,D,-7554,38876,-28926,1,2,1,1,2
California,CA,21,CA-21,862,11539,1,D,-10677,24466,-23604,1,2,1,1,3
California,CA,25,CA-25,21396,10593,1,D,10803,25945,-4549,2,2,1,1,4
California,CA,39,CA-39,7611,14598,1,D,-6987,29244,-21633,1,2,1,1,5
California,CA,45,CA-45,12523,18456,1,D,-5933,34037,-21514,1,2,1,1,6
California,CA,48,CA-48,20938,1800,1,D,19138,3702,17236,0,2,1,2,1
California,CA,49,CA-49,37876,32982,1,D,4894,81100,-43224,2,2,1,2,2
Colorado,CO,6,CO-6,38954,5608,1,D,33346,7682,31272,0,3,1,2,3
Georgia,GA,6,GA-6,3264,2363,1,D,901,14178,-10914,2,4,1,2,4
Illinois,IL,6,IL-6,22556,12056,1,D,10500,21368,1188,0,5,1,2,5
Illinois,IL,14,IL-14,14871,12761,1,D,2110,20041,-5170,2,5,1,2,6
Iowa,IA,1,IA-1,16900,4556,1,D,12344,6020,10880,0,6,1,3,1
Iowa,IA,3,IA-3,7709,3721,1,D,3988,7171,538,0,6,1,3,2
Kansas,KS,3,KS-3,30756,13985,1,D,16771,29210,1546,0,7,1,3,3
Maine,MA,2,MA-2,2107,1061,1,D,1046,562,1545,0,8,1,3,4
Michigan,MI,8,MI-8,13098,1368,1,D,11730,1360,11738,0,9,1,3,5
Michigan,MI,11,MI-11,23449,3799,1,D,19650,6806,16643,0,9,1,3,6
Minnesota,MN,1,MN-1,1315,-795,-1,R,2110,-103,1418,0,10,1,4,1
Minnesota,MN,2,MN-2,18614,8421,1,D,10193,16810,1804,0,10,1,4,2
Minnesota,MN,3,MN-3,41565,8455,1,D,33110,16571,24994,0,10,1,4,3
Minnesota,MN,8,MN-8,17414,2429,1,R,14985,3515,13899,0,10,1,4,4
New Jersey,NJ,2,NJ-2,19819,9293,1,D,10526,25444,-5625,2,11,1,4,5
New Jersey,NJ,7,NJ-7,16200,16753,1,D,-553,35603,-19403,1,11,1,4,6
New Jersey,NJ,11,NJ-11,47362,8939,1,D,38423,17611,29751,0,11,1,5,1
New Jersey ,NJ,3,NJ-3,3973,8937,1,D,-4964,8916,-4943,1,11,1,5,2
New Mexico ,NM,2,NM-2,3722,-4598,-1,D,8320,-27588,31310,0,12,2,5,3
New York,NY,19,NY-19,15000,2940,1,D,12060,1149,13851,0,13,1,5,4
New York ,NY,11,NY-11,12382,23005,1,D,-10623,39783,-27401,1,13,1,5,5
New York ,NY,22,NY-22,1886,2777,1,D,-891,16662,-14776,1,13,1,5,6
Oklahoma,OK,5,OK-5,3338,465,1,D,2873,2790,548,0,14,1,6,1
South Carolina,SC,1,SC-1,3982,-2611,-1,D,6593,-15666,19648,0,15,2,6,2
Texas,TX,32,TX-32,17966,25933,1,D,-7967,48608,-30642,1,16,1,6,3
Texas ,TX,7,TX-7,12317,3097,1,D,9220,18582,-6265,2,16,1,6,4
Utah,UT,4,UT-4,694,-2140,-1,D,2834,-12840,13534,0,17,2,6,5
Virginia,VA,10,VA-10,45515,27776,1,D,17739,65681,-20166,2,18,1,6,6
Washington,WA,8,WA-8,15121,1932,1,D,13189,3464,11657,0,19,1,7,1
