SquareID,Row2,Column2,x_waffle,y_waffle,x_bar,y_bar,BarName,color_waffle_2002,color_waffle_2017,yearLabor,Crop_Labor,Color_LaborCost,Percent_LaborCost,color_fb_cropWorker2019,color_undoc_cropWorker2019,YearAge,AgeLabel,AVG_Age,statefip,axis_x,axis_y,state_abv,NumberH2Aworkers,PrimaryCrop,H2AworkersCrop,AcresRegion,AcresYear,VegAcres,CitrusAcres,NonCitrusAcres,TotalAcres,WageRegion,NameWage,Wage,indexWage,orderWage,Region_H2A_text,Region_H2A,fb_2010Age,usb_2010Age,fb_2020Age,usb_2020Age,fb_2010Work,usb_2010Work,fb_2019Work,usb_2019Work,H2A_2020,H2A_2010,H2A_Dif,H2A_Increase,PercentProduce,Produce1,Number1_Count,Produce2,Number2_Count,Produce3,Number3_Count
sq1,1,1,260,680,-100,-100,GoAway,#05CE7C,#05CE7C,1998,VegFarm,#05CE7C,0.231,#05CE7C,#05CE7C,2007,ForeignBornAge,35.9,Alabama,460,468,AL,693,Watercress,120,Nation,2007,4682590,1005760,2432066,8120416,Nation,Crop Workers,0.6237,1,1,Appalachian I Region,AppalachianI,35.44,41.88,40.06,40.22,10768,7997,9615,7323,25992,21600.0,4392,0.203,0.027,Sweet Potatoes,2688,Apples,2086,Blueberries,1838
sq2,1,2,320,680,-100,-100,GoAway,#05CE7C,#05CE7C,1999,VegFarm,#05CE7C,0.253,#05CE7C,#05CE7C,2010,ForeignBornAge,37.1,Alaska,160,521,AK,18,Tomatoes,18,Nation,2012,4492088,877655,2493713,7863456,Nation,H.S. Graduates,0.3333,2,2,Appalachian II Region,AppalachianII,30.98,38.82,40.03,38.60,4071,6514,3614,6271,11847,7999.0,3848,0.481,0.007,Tomatoes,643,Squash,422,Cucumbers,158
sq3,1,3,380,680,-100,-100,GoAway,#05CE7C,#05CE7C,2000,VegFarm,#05CE7C,0.269,#05CE7C,#05CE7C,2013,ForeignBornAge,38.6,Arizona,160,415,AZ,5093,Lettuce,1270,Nation,2017,4365147,824936,2444512,7634595,Nation,College Graduates,0.4,3,3,California,California,36.91,35.36,41.30,33.05,131107,14228,149781,34174,25453,2839.0,22614,7.965,0.371,Strawberries,6121,Lettuce,1751,Vineyards,1161
sq4,1,4,440,680,-100,-100,GoAway,#05CE7C,#05CE7C,2001,VegFarm,#05CE7C,0.282,#05CE7C,#05CE7C,2016,ForeignBornAge,40.5,Arkansas,340,415,AR,2110,Tomatoes,387,Appalachian1,2007,146667,0,40510,187177,Appalachian I,Crop Workers,0.522102748,4,1,Cornbelt I Region,CornbeltI,36.27,37.22,41.30,37.05,4175,15716,2162,20523,9682,1677.0,8005,4.773,0.020,Watermelons,828,Pumpkins,274,Tomatoes,269
sq5,1,5,500,680,-100,-100,GoAway,#05CE7C,#05CE7C,2002,VegFarm,#05CE7C,0.267,#05CE7C,#05CE7C,2019,ForeignBornAge,41.6,California,100,362,CA,22195,Strawberries,6121,Appalachian1,2012,147390,2,39134,186526,Appalachian I,H.S. Graduates,0.29970163,5,2,Cornbelt II Region,CornbeltII,35.9,36.6,41.6,37.7,264099,162348,277877,209654,5740,1189.0,4551,3.828,0.004,Watermelons,288,Apples,112,Tomatoes,102
sq6,1,6,560,680,-100,-100,GoAway,#05CE7C,#05CE7C,2003,VegFarm,#05CE7C,0.245,#05CE7C,#05CE7C,0,Disappear,,Colorado,220,362,CO,1908,Peaches,337,Appalachian1,2017,178071,0,29650,207721,Appalachian I,College Graduates,0.41120993,6,3,Delta Region,Delta,37.14,42.40,39.13,41.37,1412,11919,1720,11800,21323,11937.0,9386,0.786,0.009,Sweet Potatoes,2651,Blueberries,518,Tomatoes,390
sq7,1,7,620,680,-100,-100,GoAway,#05CE7C,#05CE7C,2004,VegFarm,#05CE7C,0.248,#05CE7C,#05CE7C,0,Disappear,,Connecticut,640,309,CT,272,Apples,74,Appalachian2,2007,43999,0,14317,58316,Appalachian II,Crop Workers,0.454329775,7,1,Florida,Florida,34.90,41.54,38.21,39.21,25749,5797,23476,9607,39064,4542.0,34522,7.601,0.099,Citrus,4745,Watermelons,3363,Strawberries,3032
sq8,1,8,680,680,-100,-100,GoAway,#05CE7C,#05CE7C,2005,VegFarm,#05CE7C,0.239,#05CE7C,#05CE7C,0,Disappear,,Delaware,640,362,DE,766,Watermelons,613,Appalachian2,2012,42585,3,14070,56658,Appalachian II,H.S. Graduates,0.38832058,8,2,Hawaii & Alaska,Hawaii,35.9,36.6,41.6,37.7,264099,162348,277877,209654,198,90.0,108,1.200,0.004,Bell Peppers,40,Cherries,30,Coffee,6
sq9,1,9,740,680,-100,-100,GoAway,#05CE7C,#05CE7C,2006,VegFarm,#05CE7C,0.231,#05CE7C,#05CE7C,0,Disappear,,District of Columbia,640,415,DC,0,N/A,0,Appalachian2,2017,39302,0,14603,53905,Appalachian II,College Graduates,0.45425588,9,3,Lake States Region,Lake,34.19,36.76,39.21,38.41,7222,17600,5660,19360,14169,1119.0,13050,11.662,0.103,Apples,1015,Asparagus,529,Blueberries,437
sq10,1,10,800,680,-100,-100,GoAway,#05CE7C,#05CE7C,2007,VegFarm,#05CE7C,0.211,#05CE7C,#05CE7C,0,Disappear,,Florida,520,521,FL,31486,Citrus,4745,California,2007,1169786,303101,1355075,2827962,California,Crop Workers,0.66969353,10,1,Mountain I Region,MountainI,37.40,35.51,46.28,35.14,3512,4819,3848,5206,6295,5227.0,1068,0.204,0.049,Potatoes,794,Hops,241,Apples,219
