Index,year,statefip,age_cohorts,TotalAll,totalNat,totalFor,TotalWork,workFor,workNat,foreignBorn,nativeBorn,foreignTotalPer,foreignWorkPer
0,2000,Alabama,0-4,4446543,4357644,88899,2309590,58908,2250682,1730,297453,0.019992835,0.025505826000000000
1,2000,Alabama,5-9,4446543,4357644,88899,2309590,58908,2250682,2389,312434,0.019992835,0.025505826000000000
2,2000,Alabama,10-14,4446543,4357644,88899,2309590,58908,2250682,3244,318977,0.019992835,0.025505826000000000
3,2000,Alabama,15-19,4446543,4357644,88899,2309590,58908,2250682,5871,310405,0.019992835,0.025505826000000000
4,2000,Alabama,20-24,4446543,4357644,88899,2309590,58908,2250682,9803,298144,0.019992835,0.025505826000000000
5,2000,Alabama,25-29,4446543,4357644,88899,2309590,58908,2250682,12546,292673,0.019992835,0.025505826000000000
6,2000,Alabama,30-34,4446543,4357644,88899,2309590,58908,2250682,10518,292776,0.019992835,0.025505826000000000
7,2000,Alabama,35-39,4446543,4357644,88899,2309590,58908,2250682,8432,334448,0.019992835,0.025505826000000000
8,2000,Alabama,40-44,4446543,4357644,88899,2309590,58908,2250682,7959,337603,0.019992835,0.025505826000000000
9,2000,Alabama,45-49,4446543,4357644,88899,2309590,58908,2250682,6172,306171,0.019992835,0.025505826000000000
10,2000,Alabama,50-54,4446543,4357644,88899,2309590,58908,2250682,5768,276773,0.019992835,0.025505826000000000
11,2000,Alabama,55-59,4446543,4357644,88899,2309590,58908,2250682,3925,219934,0.019992835,0.025505826000000000
12,2000,Alabama,60-64,4446543,4357644,88899,2309590,58908,2250682,3588,190304,0.019992835,0.025505826000000000
13,2000,Alabama,65-69,4446543,4357644,88899,2309590,58908,2250682,2497,162374,0.019992835,0.025505826000000000
14,2000,Alabama,70-74,4446543,4357644,88899,2309590,58908,2250682,1655,147542,0.019992835,0.025505826000000000
15,2000,Alabama,75-79,4446543,4357644,88899,2309590,58908,2250682,1192,115853,0.019992835,0.025505826000000000
16,2000,Alabama,80-84,4446543,4357644,88899,2309590,58908,2250682,1161,77460,0.019992835,0.025505826000000000
17,2000,Alabama,85+,4446543,4357644,88899,2309590,58908,2250682,449,66320,0.019992835,0.025505826000000000
