,Unnamed: 0,CENSUS2010POP,CENSUS2010POP.1,STATE,STNAME,POPESTIMATE2010,POPESTIMATE2019,PopChangeEstimate,NatChange,NumericChange,BirthChange,DeathChange,IntMigChange,DomMigChange,NetMigChange,RESIDUAL,OveralminusIntMig,PopulationChange,checkPOP,checkDOM,LogNoImm,LogImm,LogPopChan,colorGroup,quad,StateAbv,domPercent,intPercent,totalPercent
0,0,4779736,4779736,1,Alabama,4785437,4903185,117748,70234,123060,543396,473162,39655,13838,53493,-667,84072,123727,123727,84072,4.924651379,4.5982979539999995,5.0924644830000005,2,1,AL,1.7568301494722425,0.8286599531035514,2.585490102575794
1,1,710231,710231,2,Alaska,713910,731545,17635,62616,21296,102219,39603,16537,-58591,-42054,734,4025,20562,20562,4025,3.604765885,4.218456726,4.313065355,1,1,AK,0.5637965569889762,2.3163984255718506,2.880194982560827
2,2,6392017,6392017,4,Arizona,6407172,7278717,871545,288139,886429,783281,495142,142125,453723,595848,2442,741862,883987,883987,741862,5.870323126000001,5.152670478,5.946445878,2,1,AZ,11.578618460687492,2.2182173351987426,13.796835795886233
3,3,2915918,2915918,5,Arkansas,2921964,3017804,95840,66688,101773,351712,285024,23180,11404,34584,501,78092,101272,101272,78092,4.8926065460000006,4.365113432,5.005489387,2,1,AR,2.672585972996245,0.7933020393132838,3.4658880123095286
4,4,37253956,37253956,6,California,37319502,39512223,2192721,2163148,2257704,4529407,2366259,1021544,-912038,109506,-14950,1251110,2272654,2272654,1251110,6.097295495,6.009257077000001,6.356533322000001,2,1,CA,3.352429515270595,2.737292689489801,6.089722204760395
5,5,5029196,5029196,8,Colorado,5047349,5758736,711387,276844,729417,605216,328372,95710,351863,447573,5000,628707,724417,724417,628707,5.798448296,4.9809573160000005,5.8599886329999995,2,1,CO,12.456182443496576,1.8962429584322384,14.352425401928814
6,6,3574097,3574097,9,Connecticut,3579114,3565287,-13827,54839,-8860,333491,278652,136392,-200291,-63899,200,-145452,-9060,-9060,-145452,-5.162719697,5.134788898,3.957128198,4,2,CT,-4.063910789094731,3.810775515951713,-0.2531352731430181
7,7,897934,897934,10,Delaware,899593,973764,74171,23128,75827,101672,78544,13227,39538,52765,-66,62666,75893,75893,62666,4.797031973999999,4.121461354,4.880201721000001,2,1,DE,6.9660390865647015,1.4703315832826624,8.436370669847364
8,8,601723,601723,11,District of Columbia,605226,705749,100523,41806,103982,87527,45721,33805,27260,61065,1111,69066,102871,102871,69066,4.839264303999999,4.52898094,5.012292962,2,1,DC,11.411604921136897,5.585516815206221,16.997121736343118
9,9,18801310,18801310,12,Florida,18845537,21477737,2632200,266255,2673173,2025141,1758886,1107039,1289614,2396653,10265,1555869,2662908,2662908,1555869,6.191973028,6.044162921,6.425356162000001,2,1,FL,8.255901649287043,5.874276758470719,14.130178407757763
10,10,9687653,9687653,13,Georgia,9711881,10617423,905542,483669,928694,1203841,720172,188808,252948,441756,3269,736617,925425,925425,736617,5.8672417370000005,5.2760203919999995,5.966341227999999,2,1,GA,7.584699606595262,1.9440930134955319,9.528792620090794
11,11,1360301,1360301,15,Hawaii,1363963,1415872,51909,66780,55565,169133,102353,59793,-70222,-10429,-786,-3442,56351,56351,-3442,-3.536810866,4.776650344,4.750901627,3,2,HI,-0.2523528864052764,4.383769940973472,4.131417054568195
12,12,1567582,1567582,16,Idaho,1570746,1787065,216319,90989,219408,208785,117796,14457,113148,127605,814,204137,218594,218594,204137,5.309921728,4.160078181,5.339638237,2,1,ID,12.996181432262121,0.9203906933393432,13.916572125601464
13,13,12830632,12830632,17,Illinois,12840503,12671821,-168682,462146,-159751,1438187,976041,242945,-865873,-622928,1031,-403727,-160782,-160782,-403727,-5.606087795,5.385507965,5.206237427,4,2,IL,-3.1441681061871174,1.8920208966891716,-1.2521472094979458
14,14,6483802,6483802,18,Indiana,6490432,6732219,241787,200313,248168,766932,566619,99099,-48857,50242,-2387,151456,250555,250555,151456,5.180286483,4.996069272,5.398903074,2,1,IN,2.333527259818761,1.5268475195487758,3.860374779367537
15,15,3046355,3046355,19,Iowa,3050745,3155070,104325,89895,108199,358277,268382,47837,-29125,18712,-408,60770,108607,108607,60770,4.783689236,4.6797639360000005,5.035857818,2,1,IA,1.991972452630423,1.5680432156735487,3.5600156683039716
16,16,2853118,2853118,20,Kansas,2858190,2913314,55124,117135,60191,355093,237958,51058,-107795,-56737,-207,9340,60398,60398,9340,3.9703468760000002,4.708063799,4.781022558,1,1,KS,0.32678023504385645,1.7863752934549486,2.113155528498805
17,17,4339367,4339367,21,Kentucky,4348181,4467673,119492,92337,128340,510539,418202,50229,-13270,36959,-956,79067,129296,129296,79067,4.897995261,4.700954532,5.111585089,2,1,KY,1.8183925646149506,1.1551727032522334,2.973565267867184
18,18,4533372,4533372,22,Louisiana,4544532,4648794,104262,171756,115307,575059,403303,44961,-102203,-57242,793,69553,114514,114514,69553,4.842315867,4.652835962,5.058858585,2,1,LA,1.5304766255359188,0.989342797014082,2.519819422550001
19,19,1328361,1328361,23,Maine,1327629,1344212,16583,-10773,15854,116512,127285,11551,15956,27507,-880,5183,16734,16734,5183,3.714581209,4.062619584,4.223599765,1,1,ME,0.3903952082999091,0.8700472797746961,1.2604424880746052
20,20,5773552,5773552,24,Maryland,5788645,6045680,257035,235972,271886,670809,434837,198996,-159993,39003,-3089,75979,274975,274975,75979,4.880693573,5.298844347,5.439293211,1,1,MD,1.3125524194349454,3.437695695624796,4.750248115059742
21,21,6547629,6547629,25,Massachusetts,6566307,6892503,326196,146074,344718,663370,517296,361770,-158778,202992,-4348,-12704,349066,349066,-12704,-4.103940485,5.55843255,5.542907549,3,2,MA,-0.19347252572869345,5.509489580672971,5.316017054944278
22,22,9883640,9883640,26,Michigan,9877510,9986857,109347,177254,102741,1043213,865959,193031,-266084,-73053,-1460,-88830,104201,104201,-88830,-4.948559662,5.2856270610000005,5.017871887,3,2,MI,-0.8993157182326316,1.9542475785901507,1.0549318603575193
23,23,5303925,5303925,27,Minnesota,5310828,5639632,328804,250488,335705,637356,386868,114414,-26253,88161,-2944,224235,338649,338649,224235,5.3507034010000005,5.058479169,5.529749797999999,2,1,MN,4.222222975400446,2.15435333247471,6.3765763078751565
24,24,2967297,2967297,28,Mississippi,2970548,2976149,5601,68667,8019,352877,284210,18949,-80197,-61248,600,-11530,7419,7419,-11530,-4.061829307,4.277586296,3.8703453710000004,3,2,MS,-0.38814387109718473,0.6378957687268477,0.24975189762966293
25,25,5988927,5988927,29,Missouri,5995974,6137428,141454,148676,148478,689089,540413,62409,-60466,1943,-2141,88210,150619,150619,88210,4.945517822,4.795247224,5.17787976,2,1,MO,1.471153810873763,1.0408484092826287,2.5120022201563916
26,26,989415,989415,30,Montana,990697,1068778,78081,23363,79371,112063,88700,6357,49358,55715,293,72721,79078,79078,72721,4.861659842,3.803252211,4.898055676999999,2,1,MT,7.340387626085473,0.6416694509017389,7.9820570769872115
27,27,1826341,1826341,31,Nebraska,1829542,1934408,104866,93770,108103,241007,147237,35100,-20197,14903,-570,73573,108673,108673,73573,4.866718465,4.545307116,5.036121656000001,2,1,NE,4.021388959641265,1.918512939303935,5.939901898945201
28,28,2700551,2700551,32,Nevada,2702405,3080156,377751,120978,379479,330058,209080,22389,234563,256952,1549,355541,377930,377930,355541,5.55088969,4.350034696,5.577411367000001,2,1,NV,13.15646618475025,0.8284842575409681,13.984950442291218
29,29,1316470,1316470,33,New Hampshire,1316762,1359711,42949,7925,43249,114444,106519,26296,9840,36136,-812,17765,44061,44061,17765,4.249565212,4.419889691,4.64405435,1,1,NH,1.3491428215577301,1.9970199626052392,3.3461627841629697
30,30,8791894,8791894,34,New Jersey,8799446,8882190,82744,282620,90212,952425,669805,298681,-491174,-192493,85,-208554,90127,90127,-208554,-5.319218524,5.475207597000001,4.954854915,3,2,NJ,-2.3700810255554727,3.3943159603456854,1.0242349347902129
31,31,2059179,2059179,35,New Mexico,2064552,2096829,32277,74679,37630,236548,161869,26589,-63522,-36933,-116,11157,37746,37746,11157,4.047547433,4.424702003999999,4.576870936000001,1,1,NM,0.5404077979145112,1.2878823105448542,1.8282901084593655
32,32,19378102,19378102,36,New York,19399878,19453561,53683,758323,75417,2177836,1419513,698000,-1379210,-681210,-1696,-620887,77113,77113,-620887,-5.793012567000001,5.843855423,4.887127598999999,3,2,NY,-3.2004685802663295,3.597960770681135,0.3974921904148057
33,33,9535483,9535483,37,North Carolina,9574323,10488084,913761,307836,952333,1111356,803520,163662,475508,639170,5327,783344,947006,947006,783344,5.893952521,5.213947854,5.976352731,2,1,NC,8.181716869171847,1.7093845695408438,9.89110143871269
34,34,672591,672591,38,North Dakota,674715,762062,87347,40507,89486,97654,57147,12724,34664,47388,1591,75171,87895,87895,75171,4.876050328,4.10462366,4.94396417,2,1,ND,11.141148484915854,1.8858332777543112,13.026981762670164
35,35,11536504,11536504,39,Ohio,11539336,11689100,149764,203832,152349,1274433,1070601,170595,-217531,-46936,-4547,-13699,156896,156896,-13699,-4.136688866,5.231966298,5.195611872,3,2,OH,-0.11871566960178644,1.4783779586624395,1.3596622890606531
36,36,3751351,3751351,40,Oklahoma,3759944,3956971,197027,120719,205389,480618,359899,56503,27964,84467,203,148683,205186,205186,148683,5.172261315,4.752071507,5.312147725,2,1,OK,3.9543940016127896,1.502761743260006,5.457155744872796
