ID,IdLong,Statefip,CountyCde,Geography,NAME,State,PopulationChange,PopulationChangeNatural,PopulationChangeBirths,PopulationChangeDeath,PopulationChangeNetMigration,PopulationChangeMigrationDom,PopulationChangeMigrationInt,DifferenceIntMigrationOverall,DifInOverallLog10,PopChangeLog10,finalPopChangeLog10,finalDifOverallLog10,Order1,Order2,Color,FIPS,Index,stateAbv,CountyName,CountySeat,Pop2010,LandAreaKM,LandAreaMI,WaterAreaKM,WaterAreaMI,TotalAreaKM,TotalAreaMI,Latitude,Longitude,totalPop,CountyName,State2
19001,0500000US19001,19,1,Adair County,Adair, Iowa,-619,-282,591,873,-340,-341,1,-620,2.792391689,0,0,-2.792391689,1,0,4,19001,790,IA,Adair,Greenfield,"7,682","1,474.40",569.271,2.598,1.003,"1,477.00",570.274,41.328528,-94.478164,-619,"Adair County, IA",Iowa
19003,0500000US19003,19,3,Adams County,Adams, Iowa,-384,-51,352,403,-337,-337,0,-384,2.584331224,0,0,-2.584331224,0,0,5,19003,791,IA,Adams,Corning,"4,029","1,096.70",423.439,5.353,2.067,"1,102.05",425.506,41.021656,-94.696906,-384,"Adams County, IA",Iowa
19005,0500000US19005,19,5,Allamakee County,Allamakee, Iowa,-496,149,1507,1358,-646,-818,172,-668,2.824776462,2.235528447,2.235528447,-2.824776462,1,0,4,19005,792,IA,Allamakee,Waukon,"14,330","1,655.21",639.082,50.995,19.689,"1,706.21",658.771,43.274964,-91.382751,-496,"Allamakee County, IA",Iowa
19007,0500000US19007,19,7,Appanoose County,Appanoose, Iowa,-450,-168,1211,1379,-272,-293,21,-471,2.673020907,1.322219295,1.322219295,-2.673020907,1,0,4,19007,793,IA,Appanoose,Centerville,"12,887","1,287.98",497.292,49.084,18.951,"1,337.07",516.243,40.744683,-92.870345,-450,"Appanoose County, IA",Iowa
19009,0500000US19009,19,9,Audubon County,Audubon, Iowa,-613,-143,508,651,-472,-480,8,-621,2.7930916,0.903089987,0.903089987,-2.7930916,1,0,4,19009,794,IA,Audubon,Audubon,"6,119","1,147.26",442.961,1.152,0.445,"1,148.42",443.406,41.679178,-94.904312,-613,"Audubon County, IA",Iowa
19011,0500000US19011,19,11,Benton County,Benton, Iowa,-427,500,2407,1907,-930,-974,44,-471,2.673020907,1.643452676,1.643452676,-2.673020907,1,0,4,19011,795,IA,Benton,Vinton,"26,076","1,855.12",716.265,5.761,2.224,"1,860.88",718.489,42.092547,-92.05763,-427,"Benton County, IA",Iowa
19013,0500000US19013,19,13,Black Hawk County,Black Hawk, Iowa,1318,4244,14091,9847,-2835,-5464,2629,-1311,3.117602692,3.419790586,3.419790586,-3.117602692,1,0,3,19013,796,IA,Black Hawk,Waterloo,"131,090","1,465.33",565.769,17.9,6.911,"1,483.23",572.68,42.472888,-92.306059,1318,"Black Hawk County, IA",Iowa
19015,0500000US19015,19,15,Boone County,Boone, Iowa,38,-21,2414,2435,74,137,-63,101,2.004321374,1.799340549,-1.799340549,2.004321374,0,1,7,19015,797,IA,Boone,Boone,"26,306","1,480.36",571.569,5.365,2.071,"1,485.72",573.64,42.038601,-93.939138,38,"Boone County, IA",Iowa
19017,0500000US19017,19,17,Bremer County,Bremer, Iowa,671,357,2115,1758,335,112,223,448,2.651278014,2.348304863,2.348304863,2.651278014,1,1,2,19017,798,IA,Bremer,Waverly,"24,276","1,127.88",435.477,10.172,3.927,"1,138.05",439.404,42.78089,-92.327586,671,"Bremer County, IA",Iowa
19019,0500000US19019,19,19,Buchanan County,Buchanan, Iowa,241,637,2328,1691,-383,-437,54,187,2.271841607,1.73239376,1.73239376,2.271841607,1,1,2,19019,799,IA,Buchanan,Independence,"20,958","1,478.94",571.02,5.428,2.096,"1,484.36",573.116,42.470328,-91.838666,241,"Buchanan County, IA",Iowa
19021,0500000US19021,19,21,Buena Vista County,Buena Vista, Iowa,-391,1084,2606,1522,-1490,-2160,670,-1061,3.025715384,2.826074803,2.826074803,-3.025715384,1,0,4,19021,800,IA,Buena Vista,Storm Lake,"20,260","1,489.02",574.915,13.758,5.312,"1,502.78",580.227,42.741522,-95.141433,-391,"Buena Vista County, IA",Iowa
19023,0500000US19023,19,23,Butler County,Butler, Iowa,-330,-266,1240,1506,-52,-142,90,-420,2.62324929,1.954242509,1.954242509,-2.62324929,1,0,4,19023,801,IA,Butler,Allison,"14,867","1,502.53",580.131,4.21,1.625,"1,506.74",581.756,42.734708,-92.780066,-330,"Butler County, IA",Iowa
19025,0500000US19025,19,25,Calhoun County,Calhoun, Iowa,-478,-263,897,1160,-211,-239,28,-506,2.704150517,1.447158031,1.447158031,-2.704150517,1,0,4,19025,802,IA,Calhoun,Rockwell City,"9,670","1,476.21",569.968,5.561,2.147,"1,481.77",572.115,42.38617,-94.643683,-478,"Calhoun County, IA",Iowa
19027,0500000US19027,19,27,Carroll County,Carroll, Iowa,-662,133,2147,2014,-795,-831,36,-698,2.843855423,1.556302501,1.556302501,-2.843855423,1,0,4,19027,803,IA,Carroll,Carroll,"20,816","1,474.84",569.437,2.145,0.828,"1,476.98",570.265,42.039492,-94.867647,-662,"Carroll County, IA",Iowa
19029,0500000US19029,19,29,Cass County,Cass, Iowa,-1022,-407,1184,1591,-609,-619,10,-1032,3.013679697,1,1,-3.013679697,1,0,4,19029,804,IA,Cass,Atlantic,"13,956","1,461.45",564.269,1.759,0.679,"1,463.21",564.948,41.333824,-94.933302,-1022,"Cass County, IA",Iowa
19031,0500000US19031,19,31,Cedar County,Cedar, Iowa,132,44,1506,1462,97,22,75,57,1.755874856,1.875061263,1.875061263,1.755874856,1,1,1,19031,805,IA,Cedar,Tipton,"18,499","1,500.73",579.436,6.386,2.466,"1,507.12",581.902,41.772355,-91.13219,132,"Cedar County, IA",Iowa
19033,0500000US19033,19,33,Cerro Gordo County,Cerro Gordo, Iowa,-1504,-312,3831,4143,-1177,-1383,206,-1710,3.23299611,2.31386722,2.31386722,-3.23299611,1,0,4,19033,806,IA,Cerro Gordo,Mason City,"44,151","1,471.92",568.313,17.627,6.806,"1,489.55",575.119,43.075171,-93.251266,-1504,"Cerro Gordo County, IA",Iowa
19035,0500000US19035,19,35,Cherokee County,Cherokee, Iowa,-746,-251,1056,1307,-501,-555,54,-800,2.903089987,1.73239376,1.73239376,-2.903089987,1,0,4,19035,807,IA,Cherokee,Cherokee,"12,072","1,494.18",576.906,0.423,0.163,"1,494.60",577.069,42.742738,-95.633262,-746,"Cherokee County, IA",Iowa
19037,0500000US19037,19,37,Chickasaw County,Chickasaw, Iowa,-478,53,1153,1100,-528,-571,43,-521,2.716837723,1.633468456,1.633468456,-2.716837723,1,0,4,19037,808,IA,Chickasaw,New Hampton,"12,439","1,306.34",504.38,3.309,1.278,"1,309.65",505.658,43.059741,-92.31721,-478,"Chickasaw County, IA",Iowa
19039,0500000US19039,19,39,Clarke County,Clarke, Iowa,137,146,1026,880,-4,-23,19,118,2.071882007,1.278753601,1.278753601,2.071882007,1,1,2,19039,809,IA,Clarke,Osceola,"9,286","1,116.72",431.167,1.525,0.589,"1,118.24",431.756,41.029191,-93.784096,137,"Clarke County, IA",Iowa
19041,0500000US19041,19,41,Clay County,Clay, Iowa,-533,55,1618,1563,-579,-623,44,-577,2.761175813,1.643452676,1.643452676,-2.761175813,1,0,4,19041,810,IA,Clay,Spencer,"16,667","1,469.14",567.238,13.867,5.354,"1,483.01",572.592,43.079822,-95.149726,-533,"Clay County, IA",Iowa
19043,0500000US19043,19,43,Clayton County,Clayton, Iowa,-572,-50,1564,1614,-516,-576,60,-632,2.800717078,1.77815125,1.77815125,-2.800717078,1,0,4,19043,811,IA,Clayton,Elkader,"18,129","2,016.41",778.539,36.586,14.126,"2,052.99",792.665,42.840998,-91.323511,-572,"Clayton County, IA",Iowa
19045,0500000US19045,19,45,Clinton County,Clinton, Iowa,-2599,168,4705,4537,-2777,-3002,225,-2824,3.450864692,2.352182518,2.352182518,-3.450864692,1,0,4,19045,812,IA,Clinton,Clinton,"49,116","1,799.82",694.915,39.524,15.26,"1,839.35",710.175,41.898073,-90.534243,-2599,"Clinton County, IA",Iowa
19047,0500000US19047,19,47,Crawford County,Crawford, Iowa,62,629,1979,1350,-567,-938,371,-309,2.489958479,2.56937391,2.56937391,-2.489958479,1,0,3,19047,813,IA,Crawford,Denison,"17,096","1,849.74",714.19,2.194,0.847,"1,851.94",715.037,42.043119,-95.38909,62,"Crawford County, IA",Iowa
