State,Date,Rate
Alabama,20190101,4.4
Alaska,20190101,6.3
Arizona,20190101,6.3
Arkansas,20190101,4.2
California,20190101,4.2
Colorado,20190101,5.4
Connecticut,20190101,3.5
DC,20190101,3.4
Delaware,20190101,4.9
Florida,20190101,4.9
Georgia,20190101,4.7
Hawaii,20190101,5.6
Idaho,20190101,5.1
Illinois,20190101,4.9
Indiana,20190101,5.3
Iowa,20190101,4.5
Kansas,20190101,5.0
Kentucky,20190101,4.5
Louisiana,20190101,4.3
Maine,20190101,4.8
Maryland,20190101,4.9
Massachusetts,20190101,4.9
Michigan,20190101,4.8
Minnesota,20190101,4.9
Mississippi,20190101,4.4
Missouri,20190101,5.1
Montana,20190101,5.3
Nebraska,20190101,4.9
Nevada,20190101,4.5
New Hampshire,20190101,4.6
New Jersey,20190101,4.4
New Mexico,20190101,5.1
New York,20190101,3.7
North Carolina,20190101,6.0
North Dakota,20190101,8.1
Ohio,20190101,5.3
Oklahoma,20190101,4.3
Oregon,20190101,5.3
Pennsylvania,20190101,4.7
Rhode Island,20190101,5.3
South Carolina,20190101,5.4
South Dakota,20190101,4.8
Tennessee,20190101,4.8
Texas,20190101,4.6
Utah,20190101,5.4
Vermont,20190101,5.1
Virginia,20190101,4.9
Washington,20190101,4.3
West Virginia,20190101,5.6
Wisconsin,20190101,5.0
Wyoming,20190101,5.6
United States,20190101,4.7
Alabama,20190201,4.0
Alaska,20190201,6.8
Arizona,20190201,5.5
Arkansas,20190201,4.5
California,20190201,4.1
Colorado,20190201,5.1
Connecticut,20190201,3.6
DC,20190201,3.9
Delaware,20190201,4.3
Florida,20190201,4.0
Georgia,20190201,4.7
Hawaii,20190201,4.6
Idaho,20190201,5.1
Illinois,20190201,4.6
Indiana,20190201,4.7
Iowa,20190201,4.5
Kansas,20190201,5.1
Kentucky,20190201,4.7
Louisiana,20190201,4.1
Maine,20190201,4.6
Maryland,20190201,4.7
Massachusetts,20190201,4.6
Michigan,20190201,4.4
Minnesota,20190201,4.7
Mississippi,20190201,4.4
Missouri,20190201,5.0
Montana,20190201,5.3
Nebraska,20190201,4.6
Nevada,20190201,4.6
New Hampshire,20190201,4.3
New Jersey,20190201,3.9
New Mexico,20190201,4.7
New York,20190201,3.7
North Carolina,20190201,6.0
North Dakota,20190201,5.2
Ohio,20190201,4.5
Oklahoma,20190201,4.3
Oregon,20190201,4.5
Pennsylvania,20190201,4.4
Rhode Island,20190201,4.6
South Carolina,20190201,5.3
South Dakota,20190201,5.0
Tennessee,20190201,4.2
Texas,20190201,4.5
Utah,20190201,4.9
Vermont,20190201,4.8
Virginia,20190201,5.0
Washington,20190201,4.7
West Virginia,20190201,5.1
Wisconsin,20190201,4.8
Wyoming,20190201,5.5
United States,20190201,4.5
Alabama,20190301,4.3
Alaska,20190301,6.8
Arizona,20190301,5.2
Arkansas,20190301,4.6
California,20190301,4.2
Colorado,20190301,5.3
Connecticut,20190301,3.7
DC,20190301,3.7
Delaware,20190301,4.9
Florida,20190301,4.6
Georgia,20190301,5.0
Hawaii,20190301,4.5
Idaho,20190301,5.1
Illinois,20190301,4.8
Indiana,20190301,4.4
Iowa,20190301,4.7
Kansas,20190301,5.1
Kentucky,20190301,4.7
Louisiana,20190301,4.4
Maine,20190301,4.8
Maryland,20190301,5.2
Massachusetts,20190301,4.8
Michigan,20190301,5.1
Minnesota,20190301,4.5
Mississippi,20190301,4.5
Missouri,20190301,4.8
Montana,20190301,5.3
Nebraska,20190301,4.7
Nevada,20190301,4.8
New Hampshire,20190301,4.3
New Jersey,20190301,4.2
New Mexico,20190301,5.6
New York,20190301,3.6
North Carolina,20190301,6.1
North Dakota,20190301,5.6
Ohio,20190301,4.7
Oklahoma,20190301,5.1
Oregon,20190301,5.1
Pennsylvania,20190301,4.5
Rhode Island,20190301,4.6
South Carolina,20190301,5.3
South Dakota,20190301,4.6
Tennessee,20190301,4.5
Texas,20190301,4.4
Utah,20190301,5.4
Vermont,20190301,4.8
Virginia,20190301,5.2
Washington,20190301,4.4
West Virginia,20190301,5.6
Wisconsin,20190301,4.9
Wyoming,20190301,5.2
United States,20190301,4.7
Alabama,20190401,4.6
Alaska,20190401,6.5
Arizona,20190401,4.9
Arkansas,20190401,4.5
California,20190401,4.3
Colorado,20190401,5.2
Connecticut,20190401,3.6
DC,20190401,3.6
Delaware,20190401,4.7
Florida,20190401,4.4
Georgia,20190401,4.9
