Index,SOC_Code,Projection2020_30_5Code,share_fb_5digit,occFamilyTitle,JobPostings_2021,JobPostings_2019,Dif2019-2021,PercentGrowth2019_2021,RiskAutomation_BG,count_5digit,obs_5digit,tot_count_5digit,share_fb_3digit,share_fb_2digit,2020NationalEmploymentMatrixTitle,threeCode,Projection2020_30_3Code,ThreeCodeSocCode_y,JobPostings_2021_3Code,JobPostings_2019_3Code,Title,twoCode,JobPostings_2021_2Code,JobPostings_2019_2Code,ThreeCodeSocCode_x,No_Occ_Projection,JobPostings_2021_2codeSum,JobPostings_2019_2codeSum,Dif2021_19_2code,PercentGrowth_2019_21_2code,Projection2020_30_2Code,FB_Share_ALL_2Code,rank_allJobs,rank_allGrowth,x_allJobs,y_allJobs,Name_2code,Examples,x_allGrowth,y_allGrowth,Round1,Round2,Round3,soc2digit,Round4,employment_2020,employment_2030,employmentChange,percent_employmentChange,x_focus,y_focus
3,15-2041,0.354,0.256,Mathematical Science Occupations,15418,5698,9720,1.706,Low Risk,51349,485,200869,0.256,0.256,Mathematical science occupations,152.0,0.28,152.0,15418.0,5698.0,Computer and mathematical,15,15418,5698,152,,994824,866171,128653,0.149,0.141,0.247,5,21,515,100,Computer & Mathematical,<ul><li>Software Developers</li><li>Computer User Support Specialists</li><li>Web Developers</li></ul>,295,500,1,1,1,15,1,5225000,5959900,734900,0.141,75,300
21,XX-XXXX,,,,,,,,,,,,,,,,,,,,Architecture and engineering,17,,,,,281678,231630,50048,0.216,,0.196,13,20,75,366,Engineering,<ul><li>Engineering Technicians</li><li>Electrical Engineers</li><li>Civil Engineers</li></ul>,185,500,1,0,0,17,0,,,,,,
2,13-2061,0.179,0.129,Financial Specialists,1440,755,685,0.907,Low Risk,2925,36,22592,0.087,0.1,Financial specialists,132.0,0.052,132.0,37969.0,22534.0,Business and financial operations,13,174413,105671,132,,651556,503286,148270,0.295,0.08,0.136,8,19,185,233,Business & Finance,<ul><li>Human Resources Specialists</li><li>Accountants & Auditors</li><li>Management Analysts</li></ul>,75,500,1,0,0,13,0,,,,,,
14,41-9012,0.114,0.142,Other Sales and Related Workers,1578,375,1203,3.208,High Risk,11506,104,80858,0.13,0.136,Other sales and related workers,419.0,0.001,419.0,68164.0,40354.0,Sales and related,41,169418,101501,419,,1193800,893510,300290,0.336,-0.014,0.132,4,18,405,100,Sales,<ul><li>Retail Salespersons</li><li>Sales Representatives</li><li>Cashiers</li></ul>,625,366,1,1,0,41,0,,,,,,
8,29-1127,0.287,0.049,Health Diagnosing and Treating Practitioners,44340,25052,19288,0.77,Low Risk,10111,103,205233,0.126,0.134,Healthcare diagnosing or treating practitioners,291.0,0.115,291.0,93219.0,51110.0,Healthcare practitioners and technical,29,282489,147401,291,,1227982,872982,355000,0.407,0.108,0.156,3,17,295,100,Healthcare Practitioners,"Registered Nurses, Health Technicians, Medical Records Technicians",515,366,1,1,0,29,0,,,,,,
6,25-3021,0.235,0.120,Other Teachers and Instructors,12616,7486,5130,0.685,Low Risk,119260,1159,993284,0.12,0.1,Other teachers and instructors,253.0,0.157,253.0,12616.0,7486.0,Educational instruction and library,25,143193,79212,253,,343749,239492,104257,0.435,0.101,0.12,12,16,625,233,Education,"Middle School Teachers, Teacher Assistants, Elementary School Teachers",405,366,1,1,0,25,0,,,,,,
1,11-9151,0.152,0.103,Other Management Occupations,12313,7824,4489,0.574,Low Risk,50075,480,488433,0.141,0.14,Other management occupations,119.0,0.092,119.0,254420.0,141559.0,Management,11,515316,301763,119,,1292802,891792,401010,0.45,0.093,0.142,1,15,75,100,Management,"Medical & Health Services Managers, General & Operations Managers, Food Service Managers",295,366,1,1,0,11,0,,,,,,
7,27-4032,0.332,0.115,Media and Communication Equipment Workers,1119,620,499,0.805,Low Risk,14572,145,126679,0.114,0.112,Media and communication equipment workers,274.0,0.21,274.0,12142.0,7146.0,"Arts, design, entertainment, sports, and media",27,151005,84931,274,,273754,186499,87255,0.468,0.131,0.128,16,14,405,366,Arts & Entertainment,"Merchandise Displayers, Coaches & Scouts, Graphic Designers",185,366,1,1,0,27,0,,,,,,
15,43-4081,0.164,0.149,Information and Record Clerks,56119,36453,19666,0.539,High Risk,28772,238,193702,0.114,0.123,Information and record clerks,434.0,0.002,434.0,442664.0,282369.0,Office and administrative support,43,757759,443515,434,,1272750,846994,425756,0.503,-0.028,0.117,2,13,185,100,Office Support,"Customer Service Representatives, Secretaries & Admin. Assistants, Stock Clerks & Order Fillers",75,366,1,1,0,43,0,,,,,,
4,19-1042,0.169,0.390,Life Scientists,17051,10939,6112,0.559,Low Risk,62853,686,161026,0.278,0.268,Life scientists,191.0,0.107,191.0,25842.0,16220.0,"Life, physical, and social science",19,79627,45067,191,,117704,75569,42135,0.558,0.079,0.209,20,12,185,500,Science,"Psychologists, Science Technicians, Chemists",625,233,1,1,0,19,0,,,,,,
