,Skill,Description,Skill Cluster,Skill Cluster Family,Postings_Requested,National Growth Category,Global Growth Category,est_fbPosting,fbShare_skill
0,SQL,"SQL ( ESS-kew-EL or SEE-kwl, Structured Query Language) is a domain-specific language used in programming and designed for managing data held in a relational database management system (RDBMS), or for stream processing in a relational data stream management system (RDSMS).",SQL Databases and Programming,Information Technology,205485,Stable,Stable,50754.795,0.247
1,Software Development,"Software development is the process of computer programming, documenting, testing, and bug fixing involved in creating and maintaining applications and frameworks resulting in a software product.",Software Development Principles,Information Technology,175661,Stable,Stable,43388.267,0.247
2,Java,"Java is a set of computer software and specifications developed by Sun Microsystems, which was later acquired by the Oracle Corporation, that provides a system for developing application software and deploying it in a cross-platform computing environment.",Java,Information Technology,164797,Stable,Stable,40704.859,0.247
3,Python,"Python is a widely used high-level programming language for general-purpose programming, created by Guido van Rossum and first released in 1991.",Scripting Languages,Information Technology,153573,Growing,Growing,37932.531,0.247
4,Software Engineering,Software engineering (SE) is the application of engineering to the development of software in a systematic method.,Software Development Principles,Information Technology,137756,Stable,Stable,34025.732,0.247
5,Project Management,"Project management is the discipline of initiating, planning, executing, controlling, and closing the work of a team to achieve specific goals and meet specific success criteria.",Project Management,Business,137019,Stable,Stable,33843.693,0.247
6,JavaScript,"JavaScript (), often abbreviated as JS, is a high-level, dynamic, weakly typed, object-based, multi-paradigm, and interpreted client-side programming language.",JavaScript and jQuery,Information Technology,117770,Stable,Stable,29089.190,0.247
7,Customer Service,"Customer service is the provision of service to customers before, during and after a purchase.",Basic Customer Service,Customer and Client Support,101624,Stable,Stable,25101.128,0.247
8,Linux,"Linux (pronounced LIN-ks or, less frequently, LYN-ks) is a Unix-like computer operating system assembled under the model of free and open-source software development and distribution.",Operating Systems,Information Technology,94723,Stable,Stable,23396.581,0.247
9,DevOps,"Working experience of DevOps. DevOps is the combination of cultural philosophies, practices, and tools that increases an organization's ability to deliver applications and services at high velocity: evolving and improving products at a faster pace than organizations using traditional software development and infrastructure management processes.",Software Development Methodologies,Information Technology,84337,Growing,Growing,20831.239,0.247
10,Cooking,"Cooking or cookery is the art, technology and craft of preparing food for consumption with or without the use of heat.",Food and Beverage Service,Personal Care and Services,139136,Stable,Stable,29079.424,0.209
11,Cleaning,"Cleaning is the process of removing unwanted substances, such as dirt, infectious agents, and other impurities, from an object or environment.",,,135600,Stable,Stable,28340.400,0.209
12,Customer Service,"Customer service is the provision of service to customers before, during and after a purchase.",Basic Customer Service,Customer and Client Support,109022,Stable,Stable,22785.598,0.209
13,Food Preparation,"Food preparation  preparing food for eating, generally requires selection, measurement and combination of ingredients in an ordered procedure so as to achieve desired results.",Food and Beverage Service,Personal Care and Services,104944,Stable,Stable,21933.296,0.209
14,Restaurant Experience,"Requires Restaurant Experience, which is experience working at an establishment where meals are served to customers.",Food and Beverage Service,Personal Care and Services,78516,Stable,Stable,16409.844,0.209
15,Food Safety,"Food safety is a scientific discipline describing handling, preparation, and storage of food in ways that prevent foodborne illness.",Food and Beverage Service,Personal Care and Services,71397,Stable,Stable,14921.973,0.209
16,Scheduling,"A schedule or a timetable, as a basic time-management tool, consists of a list of times at which possible tasks, events, or actions are intended to take place, or of a sequence of events in the chronological order in which such things are intended to take place.",Scheduling,Administration,59031,Stable,Stable,12337.479,0.209
17,Bartending,"Bartending is the act of formulating and serving alcoholic or soft drink beverages behind the bar, usually in a licensed establishment.",Food and Beverage Service,Personal Care and Services,57281,Stable,Stable,11971.729,0.209
18,Food Service Experience,"Foodservice(US English) or catering industry (British English)definesthose businesses, institutions, and companies responsible for any meal prepared outside the home. This industry includes restaurants, school and hospital cafeterias, catering operations, and many other formats",Food and Beverage Service,Personal Care and Services,54854,Stable,Stable,11464.486,0.209
