,Skill,Description,Skill Cluster,Skill Cluster Family,Postings Requested,National Growth Category,Global Growth Category,est_fbPosting
0,SQL,"SQL ( ESS-kew-EL or SEE-kwl, Structured Query Language) is a domain-specific language used in programming and designed for managing data held in a relational database management system (RDBMS), or for stream processing in a relational data stream management system (RDSMS).",SQL Databases and Programming,Information Technology,205485,Stable,Stable,50754.795
1,Software Development,"Software development is the process of computer programming, documenting, testing, and bug fixing involved in creating and maintaining applications and frameworks resulting in a software product.",Software Development Principles,Information Technology,175661,Stable,Stable,43388.267
2,Java,"Java is a set of computer software and specifications developed by Sun Microsystems, which was later acquired by the Oracle Corporation, that provides a system for developing application software and deploying it in a cross-platform computing environment.",Java,Information Technology,164797,Stable,Stable,40704.859
3,Python,"Python is a widely used high-level programming language for general-purpose programming, created by Guido van Rossum and first released in 1991.",Scripting Languages,Information Technology,153573,Growing,Growing,37932.531
4,Software Engineering,Software engineering (SE) is the application of engineering to the development of software in a systematic method.,Software Development Principles,Information Technology,137756,Stable,Stable,34025.731999999996
5,Project Management,"Project management is the discipline of initiating, planning, executing, controlling, and closing the work of a team to achieve specific goals and meet specific success criteria.",Project Management,Business,137019,Stable,Stable,33843.693
6,JavaScript,"JavaScript (), often abbreviated as JS, is a high-level, dynamic, weakly typed, object-based, multi-paradigm, and interpreted client-side programming language.",JavaScript and jQuery,Information Technology,117770,Stable,Stable,29089.19
7,Customer Service,"Customer service is the provision of service to customers before, during and after a purchase.",Basic Customer Service,Customer and Client Support,101624,Stable,Stable,25101.128
8,Linux,"Linux (pronounced LIN-ks or, less frequently, LYN-ks) is a Unix-like computer operating system assembled under the model of free and open-source software development and distribution.",Operating Systems,Information Technology,94723,Stable,Stable,23396.581
9,DevOps,"Working experience of DevOps. DevOps is the combination of cultural philosophies, practices, and tools that increases an organization's ability to deliver applications and services at high velocity: evolving and improving products at a faster pace than organizations using traditional software development and infrastructure management processes.",Software Development Methodologies,Information Technology,84337,Growing,Growing,20831.239
10,Cooking,"Cooking or cookery is the art, technology and craft of preparing food for consumption with or without the use of heat.",Food and Beverage Service,Personal Care and Services,139136,Stable,Stable,34366.592
11,Cleaning,"Cleaning is the process of removing unwanted substances, such as dirt, infectious agents, and other impurities, from an object or environment.",,,135600,Stable,Stable,33493.2
12,Customer Service,"Customer service is the provision of service to customers before, during and after a purchase.",Basic Customer Service,Customer and Client Support,109022,Stable,Stable,26928.434
13,Food Preparation,"Food preparation  preparing food for eating, generally requires selection, measurement and combination of ingredients in an ordered procedure so as to achieve desired results.",Food and Beverage Service,Personal Care and Services,104944,Stable,Stable,25921.168
14,Restaurant Experience,"Requires Restaurant Experience, which is experience working at an establishment where meals are served to customers.",Food and Beverage Service,Personal Care and Services,78516,Stable,Stable,19393.452
15,Food Safety,"Food safety is a scientific discipline describing handling, preparation, and storage of food in ways that prevent foodborne illness.",Food and Beverage Service,Personal Care and Services,71397,Stable,Stable,17635.059
16,Scheduling,"A schedule or a timetable, as a basic time-management tool, consists of a list of times at which possible tasks, events, or actions are intended to take place, or of a sequence of events in the chronological order in which such things are intended to take place.",Scheduling,Administration,59031,Stable,Stable,14580.657
17,Bartending,"Bartending is the act of formulating and serving alcoholic or soft drink beverages behind the bar, usually in a licensed establishment.",Food and Beverage Service,Personal Care and Services,57281,Stable,Stable,14148.407
18,Food Service Experience,"Foodservice(US English) or catering industry (British English)definesthose businesses, institutions, and companies responsible for any meal prepared outside the home. This industry includes restaurants, school and hospital cafeterias, catering operations, and many other formats",Food and Beverage Service,Personal Care and Services,54854,Stable,Stable,13548.938
19,Guest Services,"Working experience of Guest Services, which at a hotel are the services, amenities and help that the hotel provides for its guests.",Basic Customer Service,Customer and Client Support,53459,Stable,Stable,13204.373
20,Cleaning,"Cleaning is the process of removing unwanted substances, such as dirt, infectious agents, and other impurities, from an object or environment.",,,163788,Stable,Stable,40455.636
21,Housekeeping,"Housekeeping refers to the management of duties and chores involved in the running of a household, such as cleaning, cooking, home maintenance, shopping, laundry and bill pay.",Housekeeping,Personal Care and Services,90769,Stable,Stable,22419.943
22,Repair,"Restoration of a broken, damaged, or failed device, equipment, part, or property to an acceptable operating or usable condition or state.",,,43794,Stable,Stable,10817.118
23,Laundry,Laundry is the washing of clothing and linens.,Housekeeping,Personal Care and Services,32870,Growing,Growing,8118.89
24,Scheduling,"A schedule or a timetable, as a basic time-management tool, consists of a list of times at which possible tasks, events, or actions are intended to take place, or of a sequence of events in the chronological order in which such things are intended to take place.",Scheduling,Administration,25740,Stable,Stable,6357.78
25,Customer Service,"Customer service is the provision of service to customers before, during and after a purchase.",Basic Customer Service,Customer and Client Support,24770,Stable,Stable,6118.19
26,Equipment Cleaning,"Experience working with methods, and chemicals to facilitate and expedite the process of cleaning equipment.",Equipment Repair and Maintenance,"Maintenance, Repair, and Installation",21353,Stable,Stable,5274.191
27,Lifting Ability,"Requires Lifting Ability, which is the ability to raise and object to a higher position or level, or pick up and move an object to a different position.",Physical Abilities,Health Care,17915,Growing,Growing,4425.005
28,Furniture Moving,"Working experience of Furniture Moving, which is services for relocations like packing, loading, moving, unloading, unpacking, arranging of items to be shifted. Additional services may include cleaning services for houses, offices or warehousing facilities.",,,13956,Stable,Stable,3447.132
29,Occupational Health and Safety,"Occupational safety and health (OSH), also commonly referred to as occupational health and safety (OHS), occupational health, or workplace health and safety (WHS), is a multidisciplinary field concerned with the safety, health, and welfare of people at work.",Occupational Health and Safety,Human Resources,11655,Growing,Growing,2878.785
30,Patient Care,The services rendered by members of the health profession and non-professionals under their supervision for the benefit of the patient.,Basic Patient Care,Health Care,99635,Stable,Stable,24609.845
31,Cardiopulmonary Resuscitation (CPR),Cardiopulmonary resuscitation (CPR) is an emergency procedure that combines chest compressions often with artificial ventilation in an effort to manually preserve intact brain function until further measures are taken to restore spontaneous blood circulation and breathing in a person who is in cardiac arrest.,Emergency and Intensive Care,Health Care,61368,Stable,Stable,15157.896
32,Scheduling,"A schedule or a timetable, as a basic time-management tool, consists of a list of times at which possible tasks, events, or actions are intended to take place, or of a sequence of events in the chronological order in which such things are intended to take place.",Scheduling,Administration,59900,Stable,Stable,14795.3
33,Vital Signs Measurement,Vital signs (often shortened to just vitals) are a group of the 4 to 6 most important signs that indicate the status of the bodys vital (life-sustaining) functions.,Patient Physical Measurements,Health Care,48934,Stable,Stable,12086.698
34,Customer Service,"Customer service is the provision of service to customers before, during and after a purchase.",Basic Customer Service,Customer and Client Support,39858,Stable,Stable,9844.926
35,Bathing,"Bathing is the washing of the body with a fluid, usually water or an aqueous solution, or the immersion of the body in water.",Basic Living Activities Support,Health Care,39042,Stable,Stable,9643.374
36,Phlebotomy,Phlebotomy is the process of making an incision in a vein with a needle.,Blood Collection,Health Care,38538,Stable,Stable,9518.886
37,Activities of Daily Living (ADLS),Activities of daily living (ADLs or ADL) is a term used in healthcare to refer to people's daily self care activities.,Basic Living Activities Support,Health Care,37737,Stable,Stable,9321.039
38,ADLs Assistance,Activities of daily living (ADLs or ADL) is a term used in healthcare to refer to people's daily self care activities.,Basic Living Activities Support,Health Care,37619,Stable,Stable,9291.893
39,Home Health,"Home care (also referred to as domiciliary care, social care, or in-home care) is supportive care provided in the home.",Basic Living Activities Support,Health Care,36902,Stable,Stable,9114.794
40,Caregiving,A caregiver or carer is an unpaid or paid member of a person's social network who helps them with activities of daily living.,Basic Living Activities Support,Health Care,70841,Growing,Growing,17497.727
41,Meal Preparation,"Meal preparation, sometimes called meal prep, is the process of planning and preparing meals.",Food and Beverage Service,Personal Care and Services,39623,Stable,Stable,9786.881
42,Cardiopulmonary Resuscitation (CPR),Cardiopulmonary resuscitation (CPR) is an emergency procedure that combines chest compressions often with artificial ventilation in an effort to manually preserve intact brain function until further measures are taken to restore spontaneous blood circulation and breathing in a person who is in cardiac arrest.,Emergency and Intensive Care,Health Care,38587,Stable,Stable,9530.989
43,Scheduling,"A schedule or a timetable, as a basic time-management tool, consists of a list of times at which possible tasks, events, or actions are intended to take place, or of a sequence of events in the chronological order in which such things are intended to take place.",Scheduling,Administration,38512,Stable,Stable,9512.464
44,Bathing,"Bathing is the washing of the body with a fluid, usually water or an aqueous solution, or the immersion of the body in water.",Basic Living Activities Support,Health Care,36271,Stable,Stable,8958.937
45,Cleaning,"Cleaning is the process of removing unwanted substances, such as dirt, infectious agents, and other impurities, from an object or environment.",,,33901,Stable,Stable,8373.547
46,Child Care,"Child care or childcare, child minding, daycare, or preschool is the caring for and supervision of a child or children, usually from age six weeks to age thirteen.",Child Care,Personal Care and Services,33358,Stable,Stable,8239.426
47,Customer Service,"Customer service is the provision of service to customers before, during and after a purchase.",Basic Customer Service,Customer and Client Support,28059,Stable,Stable,6930.573
48,Home Care,"Home care (also referred to as domiciliary care, social care, or in-home care) is supportive care provided in the home.",Basic Living Activities Support,Health Care,23662,Stable,Stable,5844.514
49,Laundry,Laundry is the washing of clothing and linens.,Housekeeping,Personal Care and Services,22708,Growing,Growing,5608.876
50,Repair,"Restoration of a broken, damaged, or failed device, equipment, part, or property to an acceptable operating or usable condition or state.",,,49181,Stable,Stable,12147.707
51,Carpentry,"Carpentry is a skilled trade in which the primary work performed is the cutting, shaping and installation of building materials during the construction of buildings, ships, timber bridges, concrete formwork, etc.",Carpentry,Architecture and Construction,30227,Stable,Stable,7466.0689999999995
52,Painting,"Painting is the practice of applying paint, pigment, color or other medium to a solid surface (support base).",Painting,"Maintenance, Repair, and Installation",26292,Stable,Stable,6494.124
53,Plumbing,Plumbing is any system that conveys fluids for a wide range of applications.,Plumbing,"Maintenance, Repair, and Installation",24730,Stable,Stable,6108.3099999999995
54,Hand Tools,A hand tool is any tool that is powered by hand rather than a motor.,Hand Tools,"Maintenance, Repair, and Installation",24665,Stable,Stable,6092.255
55,Power Tools,A power tool is a tool that is actuated by an additional power source and mechanism other than the solely manual labour used with hand tools.,Power Tools,"Maintenance, Repair, and Installation",18683,Stable,Stable,4614.701
56,Electrical Work,Electrical work is the craft of an electrician,Basic Electrical Systems,"Maintenance, Repair, and Installation",18535,Stable,Stable,4578.1449999999995
57,Occupational Health and Safety,"Occupational safety and health (OSH), also commonly referred to as occupational health and safety (OHS), occupational health, or workplace health and safety (WHS), is a multidisciplinary field concerned with the safety, health, and welfare of people at work.",Occupational Health and Safety,Human Resources,16263,Growing,Growing,4016.961
58,Cleaning,"Cleaning is the process of removing unwanted substances, such as dirt, infectious agents, and other impurities, from an object or environment.",,,13945,Stable,Stable,3444.415
59,Scheduling,"A schedule or a timetable, as a basic time-management tool, consists of a list of times at which possible tasks, events, or actions are intended to take place, or of a sequence of events in the chronological order in which such things are intended to take place.",Scheduling,Administration,13390,Stable,Stable,3307.33
60,Forklift Operation,"A forklift (also called lift truck, fork truck, fork hoist, and forklift truck) is a powered industrial truck used to lift and move materials over short distances.",Material Handling,Supply Chain and Logistics,136301,Stable,Stable,33666.347
61,Customer Service,"Customer service is the provision of service to customers before, during and after a purchase.",Basic Customer Service,Customer and Client Support,74066,Stable,Stable,18294.302
62,Scheduling,"A schedule or a timetable, as a basic time-management tool, consists of a list of times at which possible tasks, events, or actions are intended to take place, or of a sequence of events in the chronological order in which such things are intended to take place.",Scheduling,Administration,72114,Stable,Stable,17812.158
63,Lifting Ability,"Requires Lifting Ability, which is the ability to raise and object to a higher position or level, or pick up and move an object to a different position.",Physical Abilities,Health Care,60071,Growing,Growing,14837.537
64,Cleaning,"Cleaning is the process of removing unwanted substances, such as dirt, infectious agents, and other impurities, from an object or environment.",,,55772,Stable,Stable,13775.684
65,Commercial Driving,No Definition.,Transportation Operations,Supply Chain and Logistics,52752,Stable,Stable,13029.744
66,Repair,"Restoration of a broken, damaged, or failed device, equipment, part, or property to an acceptable operating or usable condition or state.",,,42032,Stable,Stable,10381.904
67,HAZMAT,"Working with hazardous materials (HAZMAT)  — substances in quantities or forms that may pose a reasonable risk to health, property, or the environment. .",Hazardous Waste Management,Environment,34804,Stable,Stable,8596.588
68,Sorting,"Sorting is any process of arranging items systematically, and has two common, yet distinct meanings:ordering: arranging items in a sequence ordered by some criterion;categorizing: grouping items with similar properties.",General Administrative and Clerical Tasks,Administration,34289,Stable,Stable,8469.383
69,Basic Mathematics,"Mathematics is the study of topics such as quantity (numbers), structure, space, and change.",Basic Customer Service,Customer and Client Support,33421,Stable,Stable,8254.987
