Code,AccountName,Year,ImmRes2017,ImmigrantShare,BachelorDegree,BachelorDegreeNum,#1Industry,#1IndustryShare,STEMworkers,ImmigrantVote,ImmigrantHomeowners,StateName,ImmRes2016,residentChange,ImmTaxPaidMon,ImmTaxPaid
01,Alabama,2017,"175,012",0.0359,15.10%,0.1510,Animal slaughtering and processing,30.20%,6.20%,58189,"36,030",Alabama,"159,193",15819,"$1,230,726,074.00 ",1230726074
02,Alaska,2017,"56,617",0.0765,20.90%,0.2090,Hospitals,9.90%,5.40%,29435,"11,125",Alaska,"56,561",56,"$343,574,799.00 ",343574799
04,Arizona,2017,"931,480",0.1328,13.30%,0.1330,Landscaping services,53.10%,18.60%,377582,"230,619",Arizona,"941,067",-9587,"$6,235,643,555.00 ",6235643555
05,Arkansas,2017,"141,894",0.0472,13.10%,0.1310,Animal slaughtering and processing,37.70%,13.80%,41081,"29,628",Arkansas,"133,593",8301,"$819,842,224.00 ",819842224
06,California,2017,"10,620,982",0.2686,17.80%,0.1780,Cut and sew apparel manufacturing,74.80%,40.40%,5296146,"2,093,481",California,"10,680,264",-59282,"$105,089,328,125.00 ",1.05089E+11
08,Colorado,2017,"554,728",0.0989,16.60%,0.1660,Services to buildings and dwellings,43.90%,11.60%,217649,"126,660",Colorado,"540,451",14277,"$4,162,930,664.00 ",4162930664
09,Connecticut,2017,"525,813",0.1465,17.90%,0.1790,Services to buildings and dwellings,49.50%,23.10%,255940,"120,651",Connecticut,"521,392",4421,"$5,934,720,703.00 ",5934720703
10,Delaware,2017,"94,024",0.0977,17.00%,0.1700,"Colleges, universities, and professional schools",22.50%,22.70%,44394,"22,372",Delaware,"90,006",4018,"$874,283,020.00 ",874283020
11,District of Columbia,2017,"103,730",0.1495,16.90%,0.1690,Restaurants and other food services,43.70%,22.70%,36590,"15,281",District of Columbia,"90,560",13170,"$1,502,542,969.00 ",1502542969
12,Florida,2017,"4,370,118",0.2083,17.80%,0.1780,Drycleaning and laundry services,63.30%,24.80%,2294760,"1,002,146",Florida,"4,237,561",132557,"$28,662,482,422.00 ",28662482422
13,Georgia,2017,"1,059,476",0.1016,20.10%,0.2010,Nail salons and other personal care services,60.70%,22.00%,430696,"244,167",Georgia,"1,034,063",25413,"$9,302,546,875.00 ",9302546875
15,Hawaii,2017,"258,997",0.1814,18.80%,0.1880,Traveler accommodation,38.00%,19.50%,148701,"50,033",Hawaii,"261,166",-2169,"$2,224,745,361.00 ",2224745361
16,Idaho,2017,"95,020",0.0553,13.90%,0.1390,Animal production and aquaculture,39.60%,6.70%,38497,"24,059",Idaho,"94,614",406,"$490,915,710.00 ",490915710
17,Illinois,2017,"1,824,508",0.1425,18.70%,0.1870,Nail salons and other personal care services,57.30%,24.10%,884726,"468,137",Illinois,"1,772,722",51786,"$17,551,646,484.00 ",17551646484
18,Indiana,2017,"349,282",0.0524,15.70%,0.1570,Pharmaceutical and medicine manufacturing,18.20%,13.70%,116526,"73,886",Indiana,"346,182",3100,"$2,583,194,336.00 ",2583194336
19,Iowa,2017,"157,279",0.05,13.60%,0.1360,Animal slaughtering and processing,48.80%,10.30%,56269,"31,269",Iowa,"161,688",-4409,"$1,155,809,937.00 ",1155809937
20,Kansas,2017,"200,835",0.0689,12.40%,0.1240,Animal slaughtering and processing,64.20%,9.20%,78378,"44,063",Kansas,"213,203",-12368,"$1,357,573,730.00 ",1357573730
21,Kentucky,2017,"173,489",0.039,16.80%,0.1680,Warehousing and storage,15.90%,7.40%,61414,"31,096",Kentucky,"151,671",21818,"$1,394,899,536.00 ",1394899536
22,Louisiana,2017,"186,969",0.0399,15.20%,0.1520,Private households,32.20%,7.40%,69161,"34,621",Louisiana,"185,740",1229,"$1,279,540,283.00 ",1279540283
