Code,AccountName,Year,ImmRes2017,ImmigrantShare,BachelorDegree,#1Industry,#1IndustryShare,STEMworkers,ImmigrantVote,ImmigrantHomeowners,StateName,ImmRes2016,residentChange,ImmTaxPaidMon,ImmTaxPaid,,
01,Alabama,2017,"175,012",0.0359,15.10%,Animal slaughtering and processing,30.20%,6.20%,58189,"36,030",Alabama," 159,193 ",15819,"$1,230,726,074",1230726074,,
02,Alaska,2017,"56,617",0.0765,20.90%,Hospitals,9.90%,5.40%,29435,"11,125",Alaska," 56,561 ",56,"$343,574,799",343574799,,
04,Arizona,2017,"931,480",0.1328,13.30%,Landscaping services,53.10%,18.60%,377582,"230,619",Arizona," 941,067 ",-9587,"$6,235,643,555",6235643555,,
05,Arkansas,2017,"141,894",0.0472,13.10%,Animal slaughtering and processing,37.70%,13.80%,41081,"29,628",Arkansas," 133,593 ",8301,"$819,842,224",819842224,,
06,California,2017,"10,620,982",0.2686,17.80%,Cut and sew apparel manufacturing,74.80%,40.40%,5296146,"2,093,481",California," 10,680,264 ",-59282,"$105,089,328,125",105089328125,,
08,Colorado,2017,"554,728",0.0989,16.60%,Services to buildings and dwellings,43.90%,11.60%,217649,"126,660",Colorado," 540,451 ",14277,"$4,162,930,664",4162930664,,
09,Connecticut,2017,"525,813",0.1465,17.90%,Services to buildings and dwellings,49.50%,23.10%,255940,"120,651",Connecticut," 521,392 ",4421,"$5,934,720,703",5934720703,,
10,Delaware,2017,"94,024",0.0977,17.00%,"Colleges, universities, and professional schools",22.50%,22.70%,44394,"22,372",Delaware," 90,006 ",4018,"$874,283,020",874283020,,
11,District of Columbia,2017,"103,730",0.1495,16.90%,Restaurants and other food services,43.70%,22.70%,36590,"15,281",District of Columbia," 90,560 ",13170,"$1,502,542,969",1502542969,,
12,Florida,2017,"4,370,118",0.2083,17.80%,Drycleaning and laundry services,63.30%,24.80%,2294760,"1,002,146",Florida," 4,237,561 ",132557,"$28,662,482,422",28662482422,,
