,DMA,knives,ford,irishman,farewell,late,sick,logan,brooklyn
0,Eureka CA,100.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0
1,Traverse City-Cadillac MI,85.0,0.0,0.0,0.0,0.0,22.0,40.0,0.0
2,Missoula MT,69.0,0.0,0.0,0.0,0.0,100.0,39.0,0.0
3,Johnstown-Altoona PA,67.0,0.0,0.0,0.0,0.0,36.0,36.0,0.0
4,La Crosse-Eau Claire WI,66.0,0.0,0.0,0.0,0.0,42.0,50.0,0.0
5,Rochester MN-Mason City IA-Austin MN,66.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0
6,Columbia-Jefferson City MO,58.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0
7,Idaho Falls-Pocatello ID,56.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
8,Shreveport LA,56.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0
9,Roanoke-Lynchburg VA,55.0,0.0,0.0,0.0,0.0,10.0,29.0,0.0
10,Palm Springs CA,55.0,0.0,0.0,0.0,0.0,55.0,41.0,0.0
11,Odessa-Midland TX,51.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0
12,Peoria-Bloomington IL,49.0,0.0,0.0,0.0,0.0,24.0,43.0,0.0
13,Anchorage AK,49.0,0.0,0.0,0.0,0.0,66.0,59.0,0.0
14,Bangor ME,47.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
15,Little Rock-Pine Bluff AR,43.0,0.0,0.0,0.0,0.0,9.0,26.0,0.0
16,Burlington VT-Plattsburgh NY,42.0,0.0,23.0,0.0,100.0,78.0,44.0,0.0
17,Champaign & Springfield-Decatur IL,42.0,0.0,0.0,0.0,0.0,52.0,40.0,0.0
18,Des Moines-Ames IA,40.0,0.0,34.0,0.0,0.0,32.0,30.0,0.0
19,Albany-Schenectady-Troy NY,40.0,0.0,41.0,0.0,0.0,39.0,32.0,0.0
20,Kansas City MO,39.0,0.0,31.0,0.0,0.0,27.0,26.0,0.0
21,Rochester NY,39.0,0.0,57.0,0.0,0.0,39.0,30.0,0.0
22,Topeka KS,38.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
23,Lafayette LA,38.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
24,Reno NV,38.0,0.0,48.0,0.0,0.0,28.0,41.0,0.0
25,Gainesville FL,37.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0
26,Davenport IA-Rock Island-Moline IL,37.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0
27,Rockford IL,37.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
28,Tri-Cities TN-VA,36.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0
29,Lansing MI,36.0,0.0,0.0,0.0,0.0,23.0,40.0,0.0
30,Springfield MO,36.0,0.0,0.0,0.0,0.0,27.0,31.0,0.0
31,Wilmington NC,36.0,0.0,0.0,0.0,0.0,55.0,35.0,0.0
32,Columbia SC,36.0,0.0,16.0,0.0,0.0,19.0,29.0,0.0
33,Santa Barbara-Santa Maria-San Luis Obispo CA,35.0,0.0,32.0,0.0,0.0,60.0,46.0,0.0
34,Charleston-Huntington WV,34.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0
35,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,34.0,0.0,0.0,0.0,0.0,26.0,30.0,0.0
36,Cleveland-Akron (Canton) OH,34.0,85.0,25.0,0.0,26.0,17.0,33.0,0.0
37,Lubbock TX,33.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
38,Chico-Redding CA,33.0,0.0,0.0,0.0,0.0,31.0,27.0,0.0
39,Wichita-Hutchinson KS,33.0,0.0,0.0,0.0,0.0,20.0,33.0,0.0
40,Eugene OR,33.0,0.0,0.0,0.0,0.0,74.0,45.0,0.0
41,Chattanooga TN,32.0,0.0,0.0,0.0,0.0,27.0,25.0,0.0
42,San Antonio TX,32.0,65.0,17.0,35.0,0.0,16.0,27.0,0.0
43,Mobile AL-Pensacola (Ft. Walton Beach) FL,32.0,0.0,20.0,0.0,0.0,18.0,18.0,0.0
44,Colorado Springs-Pueblo CO,32.0,0.0,46.0,0.0,0.0,21.0,37.0,0.0
45,Monterey-Salinas CA,30.0,0.0,33.0,0.0,0.0,33.0,31.0,0.0
46,Lincoln & Hastings-Kearney NE,30.0,0.0,0.0,0.0,0.0,44.0,46.0,0.0
47,Boise ID,30.0,0.0,0.0,0.0,0.0,29.0,44.0,0.0
48,Tallahassee FL-Thomasville GA,30.0,0.0,0.0,0.0,0.0,15.0,34.0,0.0
49,West Palm Beach-Ft. Pierce FL,29.0,0.0,32.0,88.0,65.0,25.0,25.0,65.0
50,Salt Lake City UT,29.0,84.0,11.0,39.0,77.0,30.0,41.0,0.0
51,Evansville IN,28.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
52,Fargo-Valley City ND,28.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0
53,South Bend-Elkhart IN,28.0,0.0,21.0,0.0,0.0,33.0,46.0,0.0
54,Raleigh-Durham (Fayetteville) NC,28.0,37.0,21.0,10.0,30.0,29.0,26.0,32.0
55,Louisville KY,28.0,0.0,18.0,0.0,0.0,23.0,29.0,0.0
56,Greenville-Spartanburg SC-Asheville NC-Anderson SC,28.0,0.0,22.0,0.0,0.0,25.0,45.0,0.0
57,Florence-Myrtle Beach SC,28.0,0.0,0.0,0.0,0.0,18.0,35.0,0.0
58,Cincinnati OH,28.0,0.0,30.0,0.0,60.0,30.0,30.0,0.0
59,Corpus Christi TX,26.0,0.0,0.0,0.0,0.0,31.0,44.0,0.0
60,Green Bay-Appleton WI,26.0,0.0,0.0,0.0,0.0,24.0,31.0,0.0
61,Yakima-Pasco-Richland-Kennewick WA,26.0,0.0,0.0,0.0,0.0,36.0,42.0,0.0
62,Savannah GA,26.0,0.0,0.0,0.0,0.0,11.0,29.0,0.0
63,Minneapolis-St. Paul MN,26.0,58.0,22.0,25.0,39.0,34.0,33.0,41.0
64,Pittsburgh PA,26.0,43.0,28.0,0.0,45.0,21.0,31.0,0.0
65,Tulsa OK,24.0,0.0,15.0,0.0,0.0,11.0,35.0,0.0
66,Sioux Falls(Mitchell) SD,24.0,0.0,0.0,0.0,0.0,35.0,20.0,0.0
67,Boston MA-Manchester NH,24.0,69.0,58.0,81.0,90.0,50.0,33.0,71.0
68,Syracuse NY,24.0,0.0,42.0,0.0,0.0,45.0,26.0,0.0
69,Ft. Wayne IN,24.0,0.0,0.0,0.0,0.0,23.0,25.0,0.0
70,Spokane WA,24.0,0.0,0.0,0.0,0.0,17.0,41.0,0.0
71,Milwaukee WI,24.0,0.0,28.0,0.0,43.0,20.0,23.0,0.0
72,Augusta GA,24.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0
73,Wilkes Barre-Scranton PA,24.0,0.0,100.0,0.0,0.0,28.0,28.0,0.0
74,Ft. Myers-Naples FL,24.0,0.0,35.0,0.0,0.0,24.0,29.0,0.0
75,Albuquerque-Santa Fe NM,24.0,0.0,40.0,0.0,0.0,32.0,38.0,0.0
76,Baltimore MD,24.0,0.0,36.0,58.0,39.0,29.0,30.0,63.0
77,Washington DC (Hagerstown MD),23.0,56.0,37.0,42.0,86.0,36.0,28.0,85.0
78,Seattle-Tacoma WA,23.0,63.0,27.0,57.0,56.0,38.0,33.0,93.0
79,San Francisco-Oakland-San Jose CA,23.0,67.0,28.0,91.0,78.0,42.0,29.0,84.0
80,Waco-Temple-Bryan TX,23.0,0.0,0.0,0.0,0.0,25.0,35.0,0.0
81,Grand Rapids-Kalamazoo-Battle Creek MI,23.0,0.0,23.0,0.0,99.0,34.0,35.0,0.0
82,San Diego CA,23.0,84.0,31.0,64.0,50.0,50.0,30.0,95.0
83,Los Angeles CA,23.0,94.0,36.0,72.0,66.0,34.0,32.0,85.0
84,Austin TX,23.0,62.0,25.0,79.0,78.0,54.0,38.0,91.0
85,Detroit MI,22.0,76.0,31.0,33.0,49.0,27.0,24.0,39.0
86,Huntsville-Decatur (Florence) AL,22.0,0.0,0.0,0.0,0.0,12.0,19.0,0.0
87,Chicago IL,22.0,43.0,35.0,34.0,59.0,38.0,26.0,88.0
88,Jackson MS,21.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0
89,St. Louis MO,21.0,28.0,22.0,0.0,47.0,24.0,33.0,0.0
90,Phoenix AZ,20.0,59.0,29.0,23.0,81.0,32.0,33.0,75.0
91,Richmond-Petersburg VA,20.0,0.0,26.0,0.0,0.0,18.0,31.0,0.0
92,Tampa-St. Petersburg (Sarasota) FL,20.0,67.0,32.0,34.0,40.0,26.0,24.0,71.0
93,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,20.0,0.0,22.0,0.0,0.0,28.0,27.0,0.0
94,Dayton OH,19.0,0.0,27.0,0.0,0.0,19.0,29.0,0.0
95,Denver CO,19.0,69.0,28.0,73.0,52.0,46.0,29.0,96.0
96,Buffalo NY,19.0,0.0,24.0,0.0,0.0,21.0,32.0,0.0
97,Charleston SC,19.0,0.0,52.0,0.0,0.0,28.0,32.0,0.0
98,Springfield-Holyoke MA,19.0,0.0,35.0,0.0,0.0,51.0,32.0,0.0
99,Hartford & New Haven CT,19.0,0.0,54.0,58.0,60.0,47.0,37.0,100.0
100,Portland OR,18.0,100.0,21.0,70.0,35.0,37.0,31.0,51.0
101,New York NY,18.0,41.0,59.0,87.0,54.0,38.0,29.0,97.0
102,El Paso TX,18.0,0.0,0.0,0.0,0.0,21.0,39.0,0.0
103,Lexington KY,18.0,0.0,26.0,0.0,0.0,18.0,29.0,0.0
104,Ft. Smith-Fayetteville-Springdale-Rogers AR,17.0,0.0,0.0,0.0,0.0,22.0,36.0,0.0
105,Baton Rouge LA,16.0,0.0,0.0,0.0,0.0,21.0,32.0,0.0
106,Portland-Auburn ME,16.0,0.0,18.0,0.0,0.0,32.0,53.0,0.0
107,Miami-Ft. Lauderdale FL,16.0,50.0,25.0,81.0,37.0,21.0,22.0,100.0
108,Harrisburg-Lancaster-Lebanon-York PA,16.0,0.0,30.0,0.0,0.0,20.0,34.0,0.0
109,Harlingen-Weslaco-Brownsville-McAllen TX,16.0,0.0,0.0,0.0,0.0,10.0,36.0,0.0
