Index,DMA,knives,ford,irishman,farewell,late,sick,logan,brooklyn
0,Traverse City-Cadillac MI,100.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0
1,Eureka CA,95.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
2,Wilmington NC,84.0,0.0,0.0,0.0,0.0,54.0,32.0,0.0
3,Charlottesville VA,77.0,0.0,0.0,0.0,0.0,66.0,32.0,0.0
4,Columbia-Jefferson City MO,74.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
5,Colorado Springs-Pueblo CO,74.0,0.0,47.0,0.0,0.0,24.0,34.0,0.0
6,Gainesville FL,70.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0
7,Eugene OR,69.0,0.0,0.0,0.0,0.0,36.0,42.0,0.0
8,Odessa-Midland TX,63.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0
9,Rochester MN-Mason City IA-Austin MN,55.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0
10,Johnstown-Altoona PA,53.0,0.0,0.0,0.0,0.0,34.0,34.0,0.0
11,Idaho Falls-Pocatello ID,52.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0
12,Champaign & Springfield-Decatur IL,51.0,0.0,0.0,0.0,0.0,85.0,15.0,0.0
13,Rochester NY,48.0,0.0,78.0,0.0,0.0,39.0,33.0,0.0
14,La Crosse-Eau Claire WI,46.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0
15,Tallahassee FL-Thomasville GA,46.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
16,Anchorage AK,46.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0
17,Boise ID,45.0,0.0,0.0,0.0,0.0,51.0,43.0,0.0
18,Augusta GA,45.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
19,Bangor ME,44.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0
20,Springfield MO,44.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
21,Des Moines-Ames IA,42.0,0.0,43.0,0.0,0.0,40.0,26.0,0.0
22,Burlington VT-Plattsburgh NY,40.0,0.0,43.0,0.0,100.0,100.0,34.0,0.0
23,Roanoke-Lynchburg VA,39.0,0.0,0.0,0.0,0.0,22.0,19.0,0.0
24,Huntsville-Decatur (Florence) AL,39.0,0.0,0.0,0.0,0.0,26.0,39.0,0.0
25,Salt Lake City UT,37.0,69.0,20.0,39.0,17.0,24.0,30.0,0.0
26,Little Rock-Pine Bluff AR,37.0,0.0,0.0,0.0,0.0,56.0,25.0,0.0
27,Lafayette LA,36.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
28,Cleveland-Akron (Canton) OH,36.0,53.0,41.0,0.0,13.0,23.0,19.0,0.0
29,Monterey-Salinas CA,36.0,0.0,18.0,0.0,0.0,60.0,43.0,0.0
30,Topeka KS,36.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0
31,Evansville IN,36.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0
32,Wichita-Hutchinson KS,35.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0
33,South Bend-Elkhart IN,35.0,0.0,23.0,0.0,0.0,44.0,33.0,0.0
