City,State,Origin,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,total
Glendale,California,Iran,150,110,55,125,867,1637,2025,1722,710,363,191,414,918,988,1194,508,2,11979
El Cajon,California,Iraq,3,2,5,0,12,290,1569,2813,1811,664,1698,1238,815,255,259,67,4,11505
Miami,Florida,Cuba,422,116,821,1535,623,834,943,1005,1151,488,610,759,621,118,74,13,0,10133
Indianapolis,Indiana,Burma,1,9,25,39,130,817,699,810,821,813,1069,949,1211,1120,939,256,251,9959
Minneapolis,Minnesota,Somalia,50,362,1160,1042,1586,509,79,121,203,106,350,364,526,451,703,182,16,7810
Columbus,Ohio,Somalia,33,156,627,863,1319,573,121,228,268,111,251,445,461,354,629,116,5,6560
Dallas,Texas,Burma,2,3,32,65,56,359,432,791,583,487,494,396,667,795,519,157,182,6020
Saint Paul,Minnesota,Burma,0,26,193,156,183,562,575,380,484,668,524,590,534,477,391,78,147,5968
Hialeah,Florida,Cuba,326,71,642,1029,393,466,685,695,458,211,227,245,222,63,13,9,0,5755
Milwaukee,Wisconsin,Burma,4,0,6,6,35,203,339,351,355,386,389,408,609,838,870,305,277,5381
San Diego,California,Iraq,0,5,0,10,1,57,293,449,556,295,631,490,1016,557,763,250,3,5376
Houston,Texas,Burma,0,1,47,40,64,469,489,793,565,407,460,376,369,395,252,85,118,4930
Buffalo,New York,Burma,0,1,46,87,107,372,607,746,510,433,362,407,337,442,240,126,106,4929
Houston,Texas,Iraq,13,9,19,13,2,52,412,400,477,141,448,705,887,551,530,103,4,4766
Phoenix,Arizona,Burma,10,0,42,65,103,567,752,915,567,392,298,274,232,212,125,34,47,4635
Southfield,Michigan,Iraq,7,0,0,4,5,17,110,112,965,455,1720,964,75,0,11,2,0,4447
Phoenix,Arizona,Iraq,29,45,1,10,10,115,579,742,577,226,516,578,558,149,206,76,0,4417
Sterling Heights,Michigan,Iraq,8,2,7,0,1,342,825,696,293,138,579,438,475,181,259,93,1,4338
Omaha,Nebraska,Burma,0,0,0,14,42,160,432,511,415,330,318,449,455,468,320,149,105,4168
Utica,New York,Burma,1,39,124,105,194,504,533,349,288,243,250,302,243,300,237,52,73,3837
Chicago,Illinois,Iraq,32,6,1,0,11,68,437,453,496,188,400,514,559,225,232,95,1,3718
Fort Worth,Texas,Burma,0,0,10,11,48,222,365,527,344,371,414,316,400,300,154,53,38,3573
Fort Wayne,Indiana,Burma,22,27,101,156,140,599,809,297,135,110,54,170,190,279,272,81,106,3548
Columbus,Ohio,Bhutan,0,0,0,0,0,0,21,142,110,273,472,444,401,438,510,383,99,3293
Jacksonville,Florida,Burma,1,0,26,30,38,279,314,383,429,375,323,214,327,281,211,33,10,3274
Denver,Colorado,Burma,0,0,14,16,33,230,313,399,425,313,280,245,313,340,246,46,20,3233
Tampa,Florida,Cuba,78,8,174,394,105,222,339,314,381,190,228,312,309,107,34,4,0,3199
Phoenix,Arizona,Somalia,2,62,429,289,166,152,99,228,150,159,233,292,412,256,234,22,5,3190
Amarillo,Texas,Burma,5,1,10,49,31,132,277,405,388,350,381,213,254,333,177,31,53,3090
Sacramento,California,Ukraine,693,522,235,302,121,103,75,40,40,51,23,20,35,131,307,208,182,3088
Chicago,Illinois,Burma,0,0,3,19,16,313,386,166,140,175,208,171,305,525,352,99,163,3041
Portland,Oregon,Ukraine,459,379,303,291,264,118,36,35,40,33,23,14,32,135,344,287,223,3016
Saint Paul,Minnesota,Laos,0,0,1860,925,107,30,3,0,0,30,5,0,0,0,0,0,0,2960
Salt Lake City,Utah,Somalia,2,106,398,245,206,154,76,184,143,122,256,216,328,275,211,16,8,2946
Akron,Ohio,Bhutan,0,0,0,0,0,0,53,206,134,177,457,369,394,360,423,298,63,2934
Los Angeles,California,Iran,132,128,96,156,116,128,115,124,372,92,117,218,270,283,428,153,0,2928
