State,City,Total,Latitude,Longitude
Florida,Doral,447,25.8195,-80.3553
Virginia,Henrico,387,37.5059,-77.3324
Minnesota,Coon Rapids,374,45.1732,-93.303
Minnesota,Fridley,360,45.0861,-93.2633
Minnesota,Blaine,325,45.1608,-93.2349
Minnesota,Columbia Heights,288,45.0482,-93.2474
Washington,Burien,251,47.4668,-122.3405
Minnesota,Eagan,161,44.8041,-93.1669
Hawaii,Honolulu,106,24.859832,-168.021815
Florida,Homestead,472,25.526889,-80.499812
Florida,Miami,10815,25.558428,-80.458168
Florida,Hialeah,5760,25.558428,-80.458168
Florida,Miami Beach,113,25.558428,-80.458168
Florida,Miami Springs,168,25.82232,-80.289495
Florida,Hialeah Gardens,227,25.865096,-80.324496
Florida,Miami Gardens,180,25.942038,-80.245605
Florida,Opa-Locka,208,25.949125,-80.245068
Florida,Miramar,120,25.987314,-80.232271
Florida,Pembroke Pines,103,26.021239,-80.340396
Florida,Hollywood,181,26.027459,-80.120219
Florida,Naples,742,26.032137,-81.761821
Florida,Fort Lauderdale,367,26.121323,-80.127909
Florida,Plantation,201,26.127586,-80.233104
Florida,Delray Beach,316,26.457598,-80.081614
Florida,Lehigh Acres,159,26.593573,-81.661922
Florida,Cape Coral,197,26.606491,-81.95016
Florida,Palm Springs,621,26.635901,-80.096154
Florida,Lake Worth,175,26.645895,-80.430269
Florida,West Palm Beach,605,26.715844,-80.070249
Florida,North Port,505,27.074755,-82.175602
Florida,Sarasota,164,27.335023,-82.537169
Florida,Saint Petersburg,869,27.775654,-82.64092
Florida,Clearwater,1229,27.978147,-82.781523
Florida,Tampa,6652,27.996097,-82.582035
Florida,Coral Gables,124,28.053073,-82.742879
Florida,New Port Richey,218,28.239369,-82.736882
Florida,Kissimmee,156,28.30639,-81.425522
Florida,Orlando,2821,28.545179,-81.373291
Florida,Palm Coast,130,29.466085,-81.282815
Texas,San Antonio,7658,29.468413,-98.528889
Texas,Sugar Land,162,29.620312,-95.605693
Texas,Houston,25361,29.813142,-95.309789
Texas,Katy,229,29.837562,-95.733756
Louisiana,New Orleans,244,29.958304,-90.077
Louisiana,Lafayette,519,30.24171,-91.991044
Texas,Austin,6958,30.326374,-97.771258
Florida,Jacksonville,9546,30.337538,-81.768622
Florida,Tallahassee,470,30.427753,-84.258472
Texas,Pflugerville,120,30.442737,-97.597055
Louisiana,Baton Rouge,1545,30.44924,-91.185607
Texas,Leander,104,30.583474,-97.857453
Alabama,Mobile,1659,30.701142,-88.103184
Louisiana,Pineville,354,31.203393,-92.526927
Louisiana,Alexandria,125,31.274156,-92.467107
Texas,El Paso,159,31.763608,-106.484592
Texas,Midland,321,31.992384,-102.081464
Georgia,Savannah,390,32.074679,-81.088261
Arizona,Tucson,10971,32.217975,-110.970869
Texas,Abilene,2593,32.576489,-99.665323
Texas,Arlington,840,32.635563,-97.148829
California,San Diego,17320,32.724103,-117.170912
California,Lemon Grove,108,32.732288,-117.037344
California,La Mesa,497,32.76105,-116.998102
Texas,Irving,336,32.767268,-96.777626
Texas,Fort Worth,12112,32.771419,-97.291484
California,El Cajon,11842,32.776012,-116.880634
Texas,Grand Prairie,177,32.776671,-97.009389
Texas,Mesquite,109,32.777779,-96.62315
Texas,Dallas,18011,32.781179,-96.790329
Texas,North Richland Hills,111,32.840011,-97.225295
California,Santee,181,32.843956,-116.994511
Texas,Euless,180,32.859305,-97.075688
California,Lakeside,134,32.893498,-116.898945
Texas,Garland,326,32.931523,-96.615821
Texas,Carrollton,111,32.962473,-96.89817
Texas,Richardson,161,32.962811,-96.726826
California,Poway,129,32.994097,-117.030299
California,Spring Valley,785,33.016928,-116.846046
California,Chula Vista,207,33.016928,-116.846046
Texas,Plano,438,33.056756,-96.730831
Texas,Allen,127,33.089587,-96.607767
California,Escondido,252,33.102005,-117.08042
California,San Marcos,116,33.170778,-117.158674
Texas,Lewisville,1359,33.20743,-97.116282
Arizona,Chandler,151,33.324113,-111.878217
Arizona,Gilbert,185,33.335401,-111.815281
Arizona,Tempe,180,33.401395,-111.931298
Arizona,Mesa,264,33.440695,-111.856967
Arizona,Glendale,4524,33.531753,-112.177935
Arizona,Scottsdale,348,33.534451,-111.887354
Arizona,Peoria,267,33.573244,-112.245852
California,Mission Viejo,129,33.640302,-117.769442
California,Huntington Beach,128,33.640302,-117.769442
Arizona,Surprise,159,33.640996,-112.37833
Arizona,Phoenix,23608,33.703967,-112.351835
California,Fountain Valley,106,33.710582,-117.951129
California,Santa Ana,211,33.74822,-117.858473
California,Westminster,416,33.75245,-117.993904
California,Irvine,580,33.757245,-117.750414
Georgia,Avondale Estates,219,33.77149,-84.26714
Georgia,Decatur,8437,33.772554,-84.291723
California,Van Nuys,249,33.786594,-118.298662
California,Beverly Hills,222,33.786594,-118.298662
California,Sun Valley,165,33.786594,-118.298662
California,Pasadena,151,33.786594,-118.298662
California,Garden Grove,766,33.787165,-117.931889
Georgia,Stone Mountain,5100,33.797412,-84.197984
California,Long Beach,128,33.804309,-118.200957
Georgia,Clarkston,5309,33.810953,-84.23797
Georgia,Snellville,140,33.817803,-84.022911
Georgia,Atlanta,13069,33.844371,-84.47405
California,Anaheim,1475,33.844983,-117.952151
Georgia,Tucker,248,33.853945,-84.215369
Georgia,Lilburn,296,33.865587,-84.072463
California,Fullerton,108,33.879768,-117.896341
Georgia,Marietta,198,33.912473,-84.557181
Georgia,Lawrenceville,816,33.929464,-84.103226
Georgia,Norcross,289,33.960353,-84.037859
Georgia,Duluth,193,33.962979,-84.092267
California,Los Angeles,4287,33.973951,-118.248405
South Carolina,Columbia,1590,33.987454,-81.024864
California,Riverside,172,33.99504,-117.373184
California,Santa Monica,129,34.013666,-118.49375
California,Pomona,114,34.042286,-117.756106
Georgia,Roswell,177,34.055198,-84.370475
Georgia,Comer,167,34.105661,-83.144463
Georgia,Alpharetta,252,34.112373,-84.30205
California,Sherman Oaks,120,34.147149,-118.463365
California,Woodland Hills,224,34.153733,-118.593408
California,Tarzana,454,34.155097,-118.547553
California,Encino,408,34.160236,-118.515472
California,North Hollywood,191,34.1692,-118.372498
California,Glendale,13587,34.17051,-118.289463
California,Canoga Park,175,34.198292,-118.600914
California,Reseda,459,34.200175,-118.540958
California,Burbank,2169,34.200993,-118.292773
California,Montrose,172,34.211341,-118.230652
California,La Crescenta,530,34.236302,-118.249185
California,Northridge,338,34.238208,-118.55029
California,Sunland,381,34.261962,-118.336078
North Carolina,Wilmington,560,34.271985,-77.963628
California,Granada Hills,423,34.294615,-118.507001
California,Tujunga,1092,34.32222,-118.237918
South Carolina,Spartanburg,226,34.934028,-82.010697
Tennessee,Chattanooga,982,35.017818,-85.206426
North Carolina,Matthews,185,35.060868,-80.693292
South Carolina,Inman,159,35.075367,-82.02964
North Carolina,New Bern,2338,35.125849,-76.977181
Tennessee,Memphis,2609,35.169255,-89.990415
New Mexico,Albuquerque,2588,35.199592,-106.644831
Texas,Amarillo,5782,35.20603,-101.839602
North Carolina,Charlotte,8409,35.26002,-80.804151
California,Bakersfield,276,35.384337,-119.020562
Oklahoma,Oklahoma City,1660,35.491608,-97.562817
North Carolina,Asheville,773,35.602711,-82.567281
North Carolina,Raleigh,4978,35.773632,-78.634457
Tennessee,Franklin,172,35.890746,-86.965691
North Carolina,Carrboro,501,35.905477,-79.090077
Texas,Dumas,178,35.9216,-101.92026
North Carolina,High Point,3934,35.954467,-79.987882
Tennessee,Smyrna,338,35.959541,-86.53159
Arkansas,Fayetteville,132,35.974602,-94.190997
North Carolina,Durham,2772,35.99924,-78.897944
North Carolina,Chapel Hill,360,36.004647,-79.054475
Oklahoma,Jenks,169,36.006567,-95.980972
Tennessee,La Vergne,227,36.008511,-86.559194
North Carolina,Winston-Salem,464,36.027482,-80.20728
Tennessee,Knoxville,2026,36.032334,-83.884804
Oklahoma,Tulsa,1513,36.039147,-95.868667
Texas,Cactus,147,36.041191,-102.00075
North Carolina,Greensboro,5482,36.069144,-79.765156
Tennessee,Nashville,10876,36.165688,-86.778098
Tennessee,Antioch,749,36.170556,-86.8825
Nevada,Las Vegas,7006,36.17372,-115.10647
Oklahoma,Guymon,140,36.729713,-101.426147
California,Rio Linda,115,36.735223,-119.96182
California,Clovis,125,36.825296,-119.68019
California,Fresno,2585,36.8411,-119.801015
Kentucky,Bowling Green,4617,37.017407,-86.451752
Virginia,Newport News,1227,37.058296,-76.463471
Virginia,Hampton,1156,37.072658,-76.38992
California,San Jose,4272,37.189396,-121.705327
California,Los Gatos,737,37.222788,-121.983274
Missouri,Springfield,353,37.25807,-93.343673
Virginia,Roanoke,2455,37.274175,-79.95786
California,Campbell,125,37.278563,-121.955101
California,Merced,703,37.345785,-120.42415
California,Santa Clara,188,37.351158,-121.952295
California,Turlock,2300,37.474396,-120.875918
Virginia,Richmond,3629,37.524246,-77.493157
California,Fremont,256,37.565285,-121.982721
Kansas,Wichita,1854,37.651974,-97.258997
California,Modesto,1330,37.669463,-121.016796
California,Stockton,567,37.672196,-121.298794
California,Hayward,152,37.680181,-121.921498
California,Daly City,107,37.687509,-122.438783
Kentucky,Owensboro,966,37.751818,-87.257303
California,Alameda,236,37.770563,-122.264779
California,San Francisco,1446,37.776646,-122.417481
California,Oakland,2060,37.786027,-122.223779
California,Walnut Creek,351,37.873343,-122.070625
California,Concord,136,37.953672,-122.022872
Kansas,Garden City,480,38.000771,-100.664407
Virginia,Charlottesville,2795,38.026588,-78.48045
Kentucky,Lexington,2984,38.037847,-84.61645
Kentucky,Louisville,13104,38.188962,-85.676819
Virginia,Fredericksburg,582,38.295135,-77.483689
California,Sacramento,11260,38.380456,-121.555406
Virginia,Harrisonburg,2050,38.422777,-78.877137
California,Elk Grove,235,38.44148,-121.307142
Missouri,Jefferson City,222,38.494029,-92.165194
California,West Sacramento,759,38.591854,-121.537801
California,Rancho Cordova,1805,38.604269,-121.280328
California,Carmichael,668,38.62136,-121.332191
Virginia,Woodbridge,303,38.625541,-77.271644
Missouri,Saint Louis,9022,38.631501,-90.19231
California,Fair Oaks,456,38.655263,-121.260709
California,North Highlands,1176,38.66855,-121.3813
California,Citrus Heights,987,38.689802,-121.26736
Missouri,Sedalia,122,38.703138,-93.240166
California,Elverta,119,38.71379,-121.46273
California,Antelope,984,38.716091,-121.366613
California,Roseville,298,38.74073,-121.25603
Virginia,Manassas,111,38.744685,-77.487162
Virginia,Springfield,206,38.763463,-77.186063
Virginia,Alexandria,1050,38.819853,-77.059645
Maryland,Lanham,163,38.833563,-76.877743
Virginia,Annandale,248,38.835762,-77.212794
Virginia,Centreville,125,38.84479,-77.46701
Virginia,Fairfax,403,38.853231,-77.305097
Colorado,Colorado Springs,1381,38.861469,-104.857828
Virginia,Falls Church,1639,38.884177,-77.171752
Virginia,Arlington,411,38.885484,-77.099113
Missouri,Columbia,1529,38.894165,-92.274145
Virginia,Vienna,133,38.897361,-77.253749
Kansas,Olathe,125,38.899901,-94.831991
District of Columbia,Washington,568,38.911936,-77.016719
Maryland,Hyattsville,389,38.95286,-76.946296
Virginia,Reston,197,38.96146,-77.3418
Maryland,Riverdale,896,38.963206,-76.917795
Maryland,Takoma Park,168,38.98236,-77.005798
Virginia,Herndon,136,38.983887,-77.367457
Kansas,Overland Park,183,39.02315,-94.669467
Maryland,Silver Spring,3574,39.036289,-77.010948
Virginia,Sterling,235,39.085309,-77.645224
Maryland,Laurel,159,39.093136,-76.881945
Missouri,Kansas City,6106,39.102404,-94.598583
Kansas,Kansas City,3128,39.103053,-94.630384
Maryland,Savage,180,39.136189,-76.815044
Maryland,Gaithersburg,190,39.139336,-77.182953
Maryland,Rockville,259,39.143979,-77.207617
Ohio,Cincinnati,2311,39.166759,-84.53822
Maryland,Elkridge,186,39.205756,-76.753093
Maryland,Columbia,195,39.206132,-76.887905
Maryland,Catonsville,130,39.26461,-76.74241
Maryland,Baltimore,7859,39.296536,-76.623489
New Jersey,Atlantic City,213,39.377297,-74.451082
Maryland,Frederick,404,39.443551,-77.33294
New Jersey,Vineland,136,39.495524,-75.008665
Colorado,Arvada,306,39.522014,-105.223945
Nevada,Reno,123,39.525749,-119.813051
California,Oroville,185,39.578352,-121.58212
Maryland,Hagerstown,218,39.58887,-77.700213
Colorado,Englewood,101,39.645995,-105.011411
Colorado,Denver,14833,39.726303,-104.856808
Colorado,Aurora,1854,39.739249,-104.862881
Colorado,Lakewood,503,39.744773,-105.115977
California,Chico,145,39.746159,-121.840083
Ohio,Dayton,2036,39.750471,-84.268593
Missouri,Saint Joseph,100,39.765442,-94.844432
Indiana,Indianapolis,13194,39.775092,-86.13216
New Jersey,Camden,1091,39.80237,-74.938259
Colorado,Thornton,117,39.868041,-104.971924
Pennsylvania,Darby,244,39.917562,-75.269628
Pennsylvania,Upper Darby,147,39.960411,-75.270393
Pennsylvania,Philadelphia,8824,40.001811,-75.11787
Ohio,Hilliard,240,40.0334,-83.15825
Pennsylvania,Lancaster,4476,40.076553,-76.31068
Ohio,Dublin,138,40.09746,-83.150103
Ohio,Columbus,14423,40.100924,-83.013402
Ohio,Westerville,196,40.10447,-82.896457
Pennsylvania,Bensalem,193,40.10455,-74.95128
Pennsylvania,Bristol,141,40.115859,-74.853608
Pennsylvania,Roslyn,139,40.131777,-75.137674
Pennsylvania,Mechanicsburg,233,40.182917,-77.004599
Pennsylvania,Harrisburg,2030,40.258655,-76.894376
New Jersey,Trenton,1083,40.280531,-74.712018
Colorado,Greeley,1251,40.384991,-104.680631
Pennsylvania,Pittsburgh,5262,40.47441,-79.950968
Utah,Sandy,108,40.577106,-111.889047
Pennsylvania,Allentown,1187,40.602658,-75.469236
New York,Staten Island,685,40.606381,-74.114616
New Jersey,Linden,999,40.626953,-74.250939
New York,Brooklyn,3096,40.63122,-73.941542
Minnesota,Brooklyn Center,798,40.63122,-73.941542
Utah,Murray,158,40.666892,-111.887991
New Jersey,Elizabeth,1945,40.672052,-74.183438
New York,New York,2478,40.68863,-74.018244
Utah,West Valley City,169,40.691613,-112.00105
New York,Rego Park,214,40.722861,-73.862069
New York,Forest Hills,158,40.723041,-73.843688
New York,Queens,120,40.7282,-73.7949
New Jersey,Jersey City,391,40.73276,-74.075485
New York,Elmhurst,108,40.73509,-73.877562
New Jersey,Newark,256,40.736101,-74.22509
New York,Corona,183,40.748751,-73.854333
Utah,Salt Lake City,13474,40.756095,-111.900719
New Jersey,East Orange,123,40.77185,-74.207039
New York,Flushing,158,40.780747,-73.825301
New Jersey,West New York,136,40.7888,-74.011533
New York,Bronx,621,40.863028,-73.799802
Nebraska,Lincoln,3321,40.865142,-96.823133
Nebraska,Grand Island,134,40.87227,-98.368698
New Jersey,Paterson,313,40.911999,-74.170965
