Year,Iran,Libya,Somalia,Syria,Venezuela,Yemen,Total
2002,1778,0,317,6,0,0,2101
2003,2481,0,2762,1,0,0,5244
2004,1746,0,15088,0,0,8,16842
2005,1763,0,9334,7,0,7,11111
2006,4065,0,10522,27,4,4,14622
2007,5140,0,5708,26,0,6,10880
2008,5067,0,2698,16,3,0,7784
2009,5437,1,4620,32,3,58,10151
2010,2979,0,4401,24,0,4,7408
2011,2100,1,3453,23,0,0,5577
2012,1973,5,5893,41,7,7,7926
2013,2535,1,7450,45,0,5,10036
2014,2830,0,10057,249,0,14,13150
2015,3121,0,7779,2192,0,8,13100
2016,4152,4,10786,15479,0,27,30448
2017,1545,0,2770,3024,0,17,7356
2018,14,1,139,41,0,3,198
