Year,Iran,Libya,Somalia,Syria,Venezuela,Yemen,Total
2002,1778,0,2095,2101,0,0,2101
2003,2481,0,5243,5244,0,0,5244
2004,1746,0,16834,16834,0,8,16842
2005,1763,0,11097,11104,0,7,11111
2006,4065,0,14587,14614,4,4,14622
2007,5140,0,10848,10874,0,6,10880
2008,5067,0,7765,7781,3,0,7784
2009,5437,1,10058,10090,3,58,10151
2010,2979,0,7380,7404,0,4,7408
2011,2100,1,5554,5577,0,0,5577
2012,1973,5,7871,7912,7,7,7926
2013,2535,1,9986,10031,0,5,10036
2014,2830,0,12887,13136,0,14,13150
2015,3121,0,10900,13092,0,8,13100
2016,4152,4,14938,30417,0,27,30448
2017,1545,0,4315,7339,0,17,7356
2018,14,1,154,195,0,3,198
