ID,Education,Field2,fieldText2,Field,fieldText,profCode,STEM,FieldNew,FieldOld,fieldTextNew,row,col,professionExtra,postsecondary,proftext,profTotal,profession,professionExtra2,professionExtra3,engineering,degreeTotal,educationText,fieldTotal,stemText,stemNumber,engineeringName,engineeringTotal
1,4,1,engineering,1,Engineering,12,2,1,1,Engineering,1,2,1,0,Software Developers,"23,118",1,1,1,0,"120,038",Advanced Degree,"54,061",STEM Degree,"143,278",,
2,4,1,engineering,1,Engineering,12,2,1,1,Engineering,1,2,1,0,Software Developers,"23,118",1,1,1,0,"120,038",Advanced Degree,"54,061",STEM Degree,"143,278",,
3,4,1,engineering,1,Engineering,12,2,1,1,Engineering,1,2,1,0,Software Developers,"23,118",1,1,1,0,"120,038",Advanced Degree,"54,061",STEM Degree,"143,278",,
4,4,1,engineering,1,Engineering,12,2,1,1,Engineering,1,2,1,0,Software Developers,"23,118",1,1,1,0,"120,038",Advanced Degree,"54,061",STEM Degree,"143,278",,
5,4,1,engineering,1,Engineering,1,2,1,1,Engineering,1,2,1,0,Software Developers,"23,118",1,1,1,0,"120,038",Advanced Degree,"54,061",STEM Degree,"143,278",,
6,4,1,engineering,1,Engineering,1,2,1,1,Engineering,1,2,1,0,Software Developers,"23,118",1,1,1,0,"120,038",Advanced Degree,"54,061",STEM Degree,"143,278",,
7,4,1,engineering,1,Engineering,1,2,1,1,Engineering,1,2,1,0,Software Developers,"23,118",1,1,1,0,"120,038",Advanced Degree,"54,061",STEM Degree,"143,278",,
8,4,1,engineering,1,Engineering,1,2,1,1,Engineering,1,2,1,0,Software Developers,"23,118",1,1,1,0,"120,038",Advanced Degree,"54,061",STEM Degree,"143,278",,
9,4,1,engineering,1,Engineering,1,2,1,1,Engineering,1,2,1,0,Software Developers,"23,118",1,1,1,0,"120,038",Advanced Degree,"54,061",STEM Degree,"143,278",,
10,4,1,engineering,1,Engineering,1,2,1,1,Engineering,1,2,1,0,Software Developers,"23,118",1,1,1,0,"120,038",Advanced Degree,"54,061",STEM Degree,"143,278",,
