countyID,county_name,obs_adj,totobsadj,obs,totrawobs,county_name_census,ACS_count,ACS_share,FF_count,FF_share_500,FF_share_200,Add_FF_share_500,Add_FF_share_200,County,Number of Immigrants,Immigrant Share of Population,Immigrant Taxes Paid (in M$),Immigrant Spending Power (in M$),Number of Immigrant Entrepreneurs,Number of Eligible Immigrant Voters,Source,no_data
0001,Autauga AL,48,"2,404",157,7830,"Autauga County, Alabama",-  ,1,1,1,1,-  ,-,Autauga AL,N/A,2.2%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01003,Baldwin AL,172,"7,099",172,7099,"Baldwin County, Alabama",1,1,1,1,1,-  ,-,Baldwin AL,7045,3.4%,55.80,151.10,N/A,2486,5-year 2018 American Community Survey,0
01005,Barbour AL,27,"1,459",142,7762,"Barbour County, Alabama",-  ,1,-  ,1,1,-  ,-,Barbour AL,N/A,2.5%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
01007,Bibb AL,11,"1,041",66,6233,"Bibb County, Alabama",-  ,-  ,-  ,-  ,1,-  ,1,Bibb AL,N/A,1.4%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
01009,Blount AL,63,"2,529",155,6213,"Blount County, Alabama",1,1,1,1,1,-  ,-,Blount AL,1531,2.6%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01011,Bullock AL,11,582,142,7762,"Bullock County, Alabama",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
01013,Butler AL,23,"1,605",136,9387,"Butler County, Alabama",-  ,1,-  ,-  ,1,-  ,-,Butler AL,N/A,1.8%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01015,Calhoun AL,121,"5,182",121,5182,"Calhoun County, Alabama",1,1,1,1,1,-  ,-,Calhoun AL,2971,2.6%,27.80,75.50,N/A,1307,5-year 2018 American Community Survey,0
01017,Chambers AL,20,"1,574",76,6030,"Chambers County, Alabama",-  ,-  ,-  ,-  ,1,-  ,1,Chambers AL,N/A,1.4%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
01019,Cherokee AL,15,"1,230",95,7591,"Cherokee County, Alabama",-  ,-  ,-  ,-  ,1,-  ,1,Cherokee AL,N/A,0.8%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
01021,Chilton AL,25,"2,008",76,6030,"Chilton County, Alabama",-  ,1,1,1,1,-  ,-,Chilton AL,N/A,2.5%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01023,Choctaw AL,5,693,48,7142,"Choctaw County, Alabama",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
01025,Clarke AL,9,"1,286",48,7142,"Clarke County, Alabama",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
01027,Clay AL,8,660,95,7591,"Clay County, Alabama",-  ,-  ,-  ,-  ,1,-  ,1,Clay AL,N/A,2.0%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
01029,Cleburne AL,9,714,95,7591,"Cleburne County, Alabama",-  ,-  ,-  ,-  ,1,-  ,1,Cleburne AL,N/A,1.5%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
01031,Coffee AL,55,"3,830",136,9387,"Coffee County, Alabama",1,1,1,1,1,-  ,-,Coffee AL,905,1.8%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01033,Colbert AL,64,"2,596",219,8891,"Colbert County, Alabama",1,1,-  ,1,1,-  ,-,Colbert AL,1718,3.2%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01035,Conecuh AL,4,657,48,7142,"Conecuh County, Alabama",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
01037,Coosa AL,7,531,76,6030,"Coosa County, Alabama",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
01039,Covington AL,42,"2,891",136,9387,"Covington County, Alabama",-  ,1,-  ,-  ,1,-  ,-,Covington AL,N/A,1.8%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01041,Crenshaw AL,15,"1,061",136,9387,"Crenshaw County, Alabama",-  ,-  ,-  ,-  ,1,-  ,1,Crenshaw AL,N/A,1.9%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
01043,Cullman AL,83,"4,191",108,5464,"Cullman County, Alabama",1,1,1,1,1,-  ,-,Cullman AL,1621,2.0%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01045,Dale AL,111,"5,655",432,22004,"Dale County, Alabama",1,1,1,1,1,-  ,-,Dale AL,1228,2.4%,N/A,N/A,N/A,507,5-year 2018 American Community Survey,0
01047,Dallas AL,21,"1,995",66,6233,"Dallas County, Alabama",-  ,1,-  ,1,1,-  ,-,Dallas AL,N/A,1.1%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01049,DeKalb AL,104,"4,069",181,7114,"DeKalb County, Alabama",1,1,1,1,1,-  ,-,DeKalb AL,3443,4.9%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01051,Elmore AL,70,"3,492",157,7830,"Elmore County, Alabama",1,1,1,1,1,-  ,-,Elmore AL,1778,2.2%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01053,Escambia AL,13,"1,907",48,7142,"Escambia County, Alabama",-  ,-  ,-  ,-  ,1,-  ,1,Escambia AL,N/A,1.0%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
01055,Etowah AL,124,"4,911",124,4911,"Etowah County, Alabama",1,1,1,1,1,-  ,-,Etowah AL,2878,2.8%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01057,Fayette AL,9,902,61,6353,"Fayette County, Alabama",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
01059,Franklin AL,37,"1,511",219,8891,"Franklin County, Alabama",-  ,1,1,1,1,-  ,-,Franklin AL,N/A,3.2%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01061,Geneva AL,59,"3,015",432,22004,"Geneva County, Alabama",1,1,-  ,-  ,1,-  ,-,Geneva AL,655,2.4%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01063,Greene AL,4,411,66,6233,"Greene County, Alabama",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
01065,Hale AL,8,717,66,6233,"Hale County, Alabama",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
01067,Henry AL,38,"1,936",432,22004,"Henry County, Alabama",-  ,1,-  ,-  ,-  ,-  ,-,Henry AL,N/A,2.4%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01069,Houston AL,224,"11,398",432,22004,"Houston County, Alabama",1,1,1,1,1,-  ,-,Houston AL,2476,2.4%,14.10,43.80,N/A,1021,5-year 2018 American Community Survey,0
01071,Jackson AL,77,"3,045",181,7114,"Jackson County, Alabama",1,1,-  ,1,1,-  ,-,Jackson AL,2576,4.9%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01073,Jefferson AL,965,"27,998",965,27998,"Jefferson County, Alabama",1,1,1,1,1,-  ,-,Jefferson AL,25504,3.9%,227.80,636.70,1940,7740,5-year 2018 American Community Survey,0
01075,Lamar AL,7,762,61,6353,"Lamar County, Alabama",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
01077,Lauderdale AL,109,"4,419",219,8891,"Lauderdale County, Alabama",1,1,1,1,1,-  ,-,Lauderdale AL,2924,3.2%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01079,Lawrence AL,34,"1,516",154,6796,"Lawrence County, Alabama",-  ,1,-  ,-  ,1,-  ,-,Lawrence AL,N/A,3.3%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01081,Lee AL,298,"5,663",298,5663,"Lee County, Alabama",1,1,1,1,1,-  ,-,Lee AL,9611,6.0%,79.60,227.20,N/A,2757,5-year 2018 American Community Survey,0
01083,Limestone AL,85,"3,270",176,6785,"Limestone County, Alabama",1,1,1,1,1,-  ,-,Limestone AL,2680,2.9%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01085,Lowndes AL,10,493,157,7830,"Lowndes County, Alabama",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
01087,Macon AL,21,"1,141",142,7762,"Macon County, Alabama",-  ,1,-  ,-  ,1,-  ,-,Macon AL,N/A,1.1%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
01089,Madison AL,810,"15,998","1,187",26707,"Madison County, Alabama",1,1,1,1,1,-  ,-,Madison AL,20435,5.8%,186.40,523.10,N/A,8600,5-year 2018 American Community Survey,0
01091,Marengo AL,10,960,66,6233,"Marengo County, Alabama",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
01093,Marion AL,21,"1,568",280,15244,"Marion County, Alabama",-  ,1,-  ,-  ,1,-  ,-,Marion AL,N/A,1.7%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01095,Marshall AL,292,"7,439",372,9464,"Marshall County, Alabama",1,1,1,1,1,-  ,-,Marshall AL,5626,5.7%,26.60,91.50,N/A,1600,5-year 2018 American Community Survey,0
01097,Mobile AL,494,"17,735",494,17735,"Mobile County, Alabama",1,1,1,1,1,-  ,-,Mobile AL,14253,3.4%,94.30,290.70,N/A,6928,5-year 2018 American Community Survey,0
01099,Monroe AL,8,"1,150",48,7142,"Monroe County, Alabama",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
01101,Montgomery AL,463,"10,034",591,16423,"Montgomery County, Alabama",1,1,1,1,1,-  ,-,Montgomery AL,9920,4.3%,95.60,254.10,N/A,3304,5-year 2018 American Community Survey,0
01103,Morgan AL,120,"5,280",154,6796,"Morgan County, Alabama",1,1,1,1,1,-  ,-,Morgan AL,3917,3.3%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01105,Perry AL,5,480,66,6233,"Perry County, Alabama",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
01107,Pickens AL,27,999,140,5258,"Pickens County, Alabama",-  ,1,-  ,1,1,-  ,-,Pickens AL,N/A,2.8%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01109,Pike AL,32,"1,754",142,7762,"Pike County, Alabama",-  ,1,1,1,1,-  ,-,Pike AL,1435,4.3%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
01111,Randolph AL,14,"1,086",95,7591,"Randolph County, Alabama",-  ,-  ,-  ,-  ,1,-  ,1,Randolph AL,N/A,1.6%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
01113,Russell AL,52,"2,818",142,7762,"Russell County, Alabama",1,1,1,1,1,-  ,-,Russell AL,1366,2.6%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01115,St. Clair AL,92,"3,684",155,6213,"St. Clair County, Alabama",1,1,1,1,1,-  ,-,St. Clair AL,2231,2.6%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01117,Shelby AL,366,"9,732",366,9732,"Shelby County, Alabama",1,1,1,1,1,-  ,-,Shelby AL,11059,5.2%,110.10,285.90,N/A,3687,5-year 2018 American Community Survey,0
01119,Sumter AL,7,630,66,6233,"Sumter County, Alabama",-  ,-  ,-  ,-  ,1,-  ,1,Sumter AL,N/A,2.1%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
01121,Talladega AL,49,"3,902",95,7591,"Talladega County, Alabama",-  ,1,1,1,1,-  ,-,Talladega AL,N/A,1.5%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01123,Tallapoosa AL,24,"1,918",76,6030,"Tallapoosa County, Alabama",-  ,1,-  ,1,1,-  ,-,Tallapoosa AL,N/A,2.5%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01125,Tuscaloosa AL,274,"8,921",301,9920,"Tuscaloosa County, Alabama",1,1,1,1,1,-  ,-,Tuscaloosa AL,7706,3.7%,46.30,133.10,N/A,1851,5-year 2018 American Community Survey,0
01127,Walker AL,34,"3,494",61,6353,"Walker County, Alabama",-  ,1,-  ,1,1,-  ,-,Walker AL,N/A,1.2%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
01129,Washington AL,6,871,48,7142,"Washington County, Alabama",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
01131,Wilcox AL,4,579,48,7142,"Wilcox County, Alabama",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
01133,Winston AL,25,"1,273",108,5464,"Winston County, Alabama",-  ,1,-  ,-  ,1,-  ,-,Winston AL,N/A,2.0%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
02013,Aleutians East Borough AK,20,398,677,13717,"Aleutians East Borough, Alaska",-  ,-  ,1,1,1,1,1,Aleutians East Borough AK,1118,32.6%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
02016,Aleutians West Census Area AK,35,700,677,13717,"Aleutians West Census Area, Alaska",-  ,1,1,1,1,-  ,-,Aleutians West Census Area AK,2280,39.7%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
02020,Anchorage Borough AK,655,"6,833",655,6833,"Anchorage Municipality, Alaska",1,1,1,1,1,-  ,-,Anchorage Borough AK,31580,10.7%,295.10,943.20,N/A,19058,5-year 2018 American Community Survey,0
02050,Bethel Census Area AK,105,"2,126",677,13717,"Bethel Census Area, Alaska",1,1,-  ,-  ,1,-  ,-,Bethel Census Area AK,1550,8.9%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
02060,Bristol Bay Borough AK,6,123,677,13717,"Bristol Bay Borough, Alaska",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
02068,Denali Borough AK,4,60,355,5480,"Denali Borough, Alaska",-  ,-  ,-  ,-  ,1,-  ,1,Denali Borough AK,N/A,10.2%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
02070,Dillingham Census Area AK,30,604,677,13717,"Dillingham Census Area, Alaska",-  ,1,-  ,-  ,-  ,-  ,-,Dillingham Census Area AK,N/A,8.9%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
02090,Fairbanks North Star Borough AK,211,"3,255",355,5480,"Fairbanks North Star Borough, Alaska",1,1,1,1,1,-  ,-,Fairbanks North Star Borough AK,6641,6.7%,47.70,160.80,N/A,3460,5-year 2018 American Community Survey,0
02100,Haines Borough AK,5,82,355,5480,"Haines Borough, Alaska",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
02105,Hoonah-Angoon Census Area,14,274,677,13717,"Hoonah-Angoon Census Area, Alaska",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
02110,Juneau Borough AK,67,"1,041",355,5480,"Juneau City and Borough, Alaska",1,1,1,1,1,-  ,-,Juneau Borough AK,2124,6.7%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
02122,Kenai Peninsula Borough AK,93,"2,937",243,7648,"Kenai Peninsula Borough, Alaska",1,1,1,1,1,-  ,-,Kenai Peninsula Borough AK,2009,3.2%,N/A,N/A,N/A,1110,5-year 2018 American Community Survey,0
02130,Ketchikan Gateway Borough AK,29,449,355,5480,"Ketchikan Gateway Borough, Alaska",-  ,1,1,1,1,-  ,-,Ketchikan Gateway Borough AK,N/A,6.7%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
02150,Kodiak Island Borough AK,84,"1,701",677,13717,"Kodiak Island Borough, Alaska",1,1,1,1,1,-  ,-,Kodiak Island Borough AK,1240,8.9%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
02164,Lake and Peninsula Borough AK,10,206,677,13717,"Lake and Peninsula Borough, Alaska",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
02170,Matanuska-Susitna Borough AK,150,"4,711",243,7648,"Matanuska-Susitna Borough, Alaska",1,1,1,1,1,-  ,-,Matanuska-Susitna Borough AK,3222,3.2%,21.40,73.50,N/A,1780,5-year 2018 American Community Survey,0
02180,Nome Census Area AK,59,"1,193",677,13717,"Nome Census Area, Alaska",1,1,-  ,-  ,1,-  ,-,Nome Census Area AK,870,8.9%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
02185,North Slope Borough AK,58,"1,180",677,13717,"North Slope Borough, Alaska",1,1,-  ,1,1,-  ,-,North Slope Borough AK,860,8.9%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
02188,Northwest Arctic Borough AK,47,946,677,13717,"Northwest Arctic Borough, Alaska",-  ,1,-  ,-  ,-  ,-  ,-,Northwest Arctic Borough AK,N/A,8.9%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
02195,Petersburg Census Area,24,480,677,13717,"Petersburg Borough, Alaska",-  ,1,-  ,-  ,1,-  ,-,Petersburg Census Area,N/A,11.0%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
02198,Prince of Wales-Hyder Census Area,35,700,677,13717,"Prince of Wales-Hyder Census Area, Alaska",-  ,1,-  ,-  ,-  ,-  ,-,Prince of Wales-Hyder Census Area,N/A,8.9%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
02220,Sitka Borough AK,55,"1,111",677,13717,"Sitka City and Borough, Alaska",1,1,-  ,1,1,-  ,-,Sitka Borough AK,810,8.9%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
02230,Skagway Municipality,2,33,355,5480,"Skagway Municipality, Alaska",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
02240,Southeast Fairbanks Census Area AK,15,236,355,5480,"Southeast Fairbanks Census Area, Alaska",-  ,-  ,-  ,1,1,1,1,Southeast Fairbanks Census Area AK,N/A,9.9%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
02261,Valdez-Cordova Census Area AK,21,323,355,5480,"Valdez-Cordova Census Area, Alaska",-  ,1,-  ,1,1,-  ,-,Valdez-Cordova Census Area AK,N/A,6.7%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
02270,Wade Hampton Census Area AK (D),46,933,677,13717,"Kusilvak Census Area, Alaska",-  ,1,-  ,-  ,-  ,-  ,-,Wade Hampton Census Area AK (D),N/A,8.9%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
02275,Wrangell City and Borough,15,302,677,13717,"Wrangell City and Borough, Alaska",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
02282,Yakutat Borough,4,82,677,13717,"Yakutat City and Borough, Alaska",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
02290,Yukon-Koyukuk Census Area AK,35,700,677,13717,"Yukon-Koyukuk Census Area, Alaska",-  ,1,-  ,-  ,-  ,-  ,-,Yukon-Koyukuk Census Area AK,N/A,8.9%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
04001,Apache AZ,108,"6,412",269,16029,"Apache County, Arizona",1,1,1,1,1,-  ,-,Apache AZ,1703,2.4%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
