Account Name,CBSAFP,Year,Immigrant Residents,Immigrant Share of Population,"Foreign-Born, Ages 0-15","Foreign-Born, Ages 16-64",Immigrant Entrepreneurs,How Much More Likely Are The Foreign-Born to Be Entrepreneurs than the Native-Born,Immigrant Household Income,Immigrant Taxes Paid,tottaxMSA,State & Local Taxes,Federal Taxes,Immigrant Spending Power,sppowerMSA,Immigrants eligible to vote,Immigrant homeowners
Akron Metro Area,10420,2018,34688,4.9%,8.90%,*75.0%,1614,16.60%,"$1,124,300,000.00 ","$321,400,000.00 ",321.40,"$107,900,000.00 ","$213,600,000.00 ","$802,800,000.00 ",802.80,14996,7936
Albany Metro Area,10580,2018,68039,7.7%,6.50%,*77.0%,2990,4.20%,"$2,551,400,000.00 ","$827,700,000.00 ",827.70,"$315,100,000.00 ","$512,600,000.00 ","$1,723,700,000.00 ",1723.70,35487,15283
Albuquerque Metro Area,10740,2018,84962,9.3%,4.20%,*81.7%,6238,35.50%,"$1,973,500,000.00 ","$488,200,000.00 ",488.20,"$183,200,000.00 ","$305,000,000.00 ","$1,485,300,000.00 ",1485.30,34970,21613
Allentown Metro Area,10900,2018,74824,9.0%,4.90%,*79.5%,4014,14.40%,"$2,644,400,000.00 ","$761,400,000.00 ",761.40,"$256,000,000.00 ","$505,500,000.00 ","$1,883,000,000.00 ",1883.00,40405,17822
Atlanta Metro Area,12060,2018,829228,13.9%,5.20%,*84.0%,69567,35.80%,"$29,826,400,000.00 ","$8,197,100,000.00 ",8197.10,"$2,637,200,000.00 ","$5,559,900,000.00 ","$21,629,300,000.00 ",21629.30,370954,196708
Augusta Metro Area,12260,2018,26999,4.6%,3.80%,*79.7%,1573,61.00%,"$763,700,000.00 ","$203,200,000.00 ",203.20,"$66,300,000.00 ","$136,800,000.00 ","$560,500,000.00 ",560.50,11715,6632
Austin Metro Area,12420,2018,327333,15.1%,4.10%,*86.6%,23649,3.00%,"$12,534,500,000.00 ","$3,383,400,000.00 ",3383.40,"$951,600,000.00 ","$2,431,700,000.00 ","$9,151,100,000.00 ",9151.10,120417,69914
Bakersfield Metro Area,12540,2018,175643,19.6%,3.70%,*83.1%,10225,11.70%,"$4,322,500,000.00 ","$1,021,600,000.00 ",1021.60,"$400,400,000.00 ","$621,200,000.00 ","$3,300,900,000.00 ",3300.90,62743,37750
Baltimore Metro Area,12580,2018,289189,10.3%,4.10%,*83.9%,19139,37.70%,"$12,701,600,000.00 ","$3,878,100,000.00 ",3878.10,"$1,309,000,000.00 ","$2,569,100,000.00 ","$8,823,500,000.00 ",8823.50,151748,72235
Baton Rouge Metro Area,12940,2018,32145,3.8%,7.90%,*82.1%,3195,91.20%,"$1,048,200,000.00 ","$285,700,000.00 ",285.70,"$87,400,000.00 ","$198,300,000.00 ","$762,500,000.00 ",762.50,10809,6158
