,Account Name,Year,Immigrant Residents,Immigrant Share of Population,tottaxMSA,sppowerMSA,Immigrant Entrepreneurs,Immigrants eligible to vote,CBSAFP,MetroArea,Source
0,Akron Metro Area,2019,35372,5.0%,324.5,817.2,1577,15765,10420,Akron Metro Area,5-year 2019 American Community Survey
1,Albany Metro Area,2019,69880,7.9%,834.2,1786.6,3034,36041,10580,Albany Metro Area,5-year 2019 American Community Survey
2,Albuquerque Metro Area,2019,82242,9.0%,491.1,1478.9,6006,35568,10740,Albuquerque Metro Area,5-year 2019 American Community Survey
3,Allentown Metro Area,2019,76639,9.1%,772.7,1959.0,4194,42461,10900,Allentown Metro Area,5-year 2019 American Community Survey
4,Atlanta Metro Area,2019,848960,14.1%,9118.4,24200.3,69118,383680,12060,Atlanta Metro Area,1-year 2019 American Community Survey
5,Augusta Metro Area,2019,26227,4.4%,206.4,574.3,1682,11683,12260,Augusta Metro Area,5-year 2019 American Community Survey
6,Austin Metro Area,2019,351452,15.8%,3671.3,10178.2,31426,128353,12420,Austin Metro Area,1-year 2019 American Community Survey
7,Bakersfield Metro Area,2019,178391,19.8%,1067.4,3366.8,11170,61684,12540,Bakersfield Metro Area,1-year 2019 American Community Survey
8,Baltimore Metro Area,2019,284003,10.2%,4151.9,9304.6,21951,149733,12580,Baltimore Metro Area,1-year 2019 American Community Survey
9,Baton Rouge Metro Area,2019,33320,3.9%,302.8,803.2,3426,11111,12940,Baton Rouge Metro Area,5-year 2019 American Community Survey
10,Birmingham Metro Area,2019,42154,3.9%,349.9,998.5,3693,13911,13820,Birmingham Metro Area,5-year 2019 American Community Survey
11,Boise Metro Area,2019,44795,6.3%,317.9,955.3,2485,18401,14260,Boise Metro Area,5-year 2019 American Community Survey
12,Boston Metro Area,2019,939312,19.3%,12596.6,30762.9,60399,463903,14460,Boston Metro Area,1-year 2019 American Community Survey
13,Bridgeport Metro Area,2019,213733,22.7%,3604.7,7479.6,20204,101661,14860,Bridgeport Metro Area,1-year 2019 American Community Survey
