statefip,id,StateName,fbpop,fbshare,obs,fbage1664,entrp,tottax$,sppower$,tottax,sppower,voter,MapSite
Alabama,01,Alabama,172782,3.5%,1405,79.5%,15748,"$1,280 ","$3,922 ",1280,3922,67135,https://www.newamericaneconomy.org/locations/alabama/
Alaska,02,Alaska,57830,7.9%,358,79.9%,N/A,$416.70,"$1,524 ",416.70,1524,34398,https://www.newamericaneconomy.org/locations/alaska/
Arizona,04,Arizona,972110,13.4%,7741,79.6%,71216,"$7,743 ","$23,098 ",7743,23098,420623,https://www.newamericaneconomy.org/locations/arizona/
Arkansas,05,Arkansas,154646,5.1%,1079,84.8%,8729,"$1,178 ","$3,404 ",1178,3404,56459,https://www.newamericaneconomy.org/locations/arkansas/
California,06,California,10555425,26.7%,98573,77.9%,829369,"$130,808 ","$317,598 ",130808,317598,5478932,https://www.newamericaneconomy.org/locations/california/
Colorado,08,Colorado,537334,9.3%,4155,83.0%,43684,"$5,763 ","$15,581 ",5763,15581,248164,https://www.newamericaneconomy.org/locations/colorado/
Connecticut,09,Connecticut,522787,14.7%,4554,77.8%,35791,"$7,651 ","$16,653 ",7651,16653,265153,https://www.newamericaneconomy.org/locations/connecticut/
Delaware,10,Delaware,98339,10.1%,766,79.5%,6613,"$1,037 ","$3,106 ",1037,3106,46017,https://www.newamericaneconomy.org/locations/delaware/
District of Columbia,11,District of Columbia,85615,12.1%,756,82.1%,N/A,"$1,643 ","$3,353 ",1643,3353,39273,https://www.newamericaneconomy.org/locations/district-of-columbia/
Florida,12,Florida,4523312,21.1%,37875,73.6%,394176,"$33,242 ","$105,376 ",33242,105376,2494127,https://www.newamericaneconomy.org/locations/florida/
Georgia,13,Georgia,1083553,10.2%,8688,83.3%,81849,"$10,811 ","$29,140 ",10811,29140,473565,https://www.newamericaneconomy.org/locations/georgia/
Hawaii,15,Hawaii,269448,19.0%,2443,70.1%,14438,"$2,676 ","$6,478 ",2676,6478,152345,https://www.newamericaneconomy.org/locations/hawaii/
Idaho,16,Idaho,93320,5.2%,711,82.4%,7107,$723.10,"$2,231 ",723.1,2231,40076,https://www.newamericaneconomy.org/locations/alabama/
Illinois,17,Illinois,1761539,13.9%,13832,78.9%,117101,"$21,404 ","$50,219 ",21404,50219,912342,https://www.newamericaneconomy.org/locations/illinois/
Indiana,18,Indiana,360076,5.3%,2593,81.4%,20286,"$2,899 ","$7,915 ",2899,7915,135065,https://www.newamericaneconomy.org/locations/indiana/
Iowa,19,Iowa,176006,5.6%,1064,86.1%,N/A,"$1,617 ","$4,339 ",1617,4339,80169,https://www.newamericaneconomy.org/locations/alabama/
Kansas,20,Kansas,203385,7.0%,1409,82.0%,12164,"$1,541 ","$4,436 ",1541,4436,75748,https://www.newamericaneconomy.org/locations/kansas/
Kentucky,21,Kentucky,188771,4.2%,1541,81.7%,11255,"$1,617 ","$4,388 ",1617,4388,69108,https://www.newamericaneconomy.org/locations/kentucky/
Louisiana,22,Louisiana,195129,4.2%,1723,78.4%,18920,"$1,303 ","$3,785 ",1303,3785,76302,https://www.newamericaneconomy.org/locations/louisiana/
Maine,23,Maine,49517,3.7%,440,68.8%,N/A,$464.40,"$1,169 ",464.4,1169,26991,https://www.newamericaneconomy.org/locations/maine/
Maryland,24,Maryland,922441,15.3%,7983,79.4%,63813,"$12,242 ","$28,340 ",12242,28340,459693,https://www.newamericaneconomy.org/locations/maryland/
Massachusetts,25,Massachusetts,1191110,17.3%,10421,78.7%,77092,"$14,997 ","$37,281 ",14997,37281,607821,https://www.newamericaneconomy.org/locations/massachusetts/
Michigan,26,Michigan,678255,6.8%,5212,77.7%,36056,"$7,824 ","$20,274 ",7824,20274,348377,https://www.newamericaneconomy.org/locations/michigan/
Minnesota,27,Minnesota,476556,8.5%,2487,82.7%,19813,"$4,846 ","$12,638 ",4846,12638,252631,https://www.newamericaneconomy.org/locations/alabama/
Mississippi,28,Mississippi,63444,2.1%,632,79.5%,N/A,$500.50,"$1,441 ",500.5,1441,25326,https://www.newamericaneconomy.org/locations/mississippi/
Missouri,29,Missouri,258741,4.2%,2024,81.0%,17884,"$2,685 ","$7,087 ",2685,7087,122991,https://www.newamericaneconomy.org/locations/missouri/
Montana,30,Montana,21095,2.0%,200,63.6%,N/A,$222.60,$628.90,222.60,628.90,9837,https://www.newamericaneconomy.org/locations/montana/
Nebraska,31,Nebraska,144379,7.5%,779,84.4%,N/A,$939.60,"$2,934 ",939.60,2934,52867,https://www.newamericaneconomy.org/locations/alabama/
Nevada,32,Nevada,614416,19.9%,5279,79.2%,33731,"$4,636 ","$15,292 ",4636,15292,298411,https://www.newamericaneconomy.org/locations/nevada/
New Hampshire,33,New Hampshire,87055,6.4%,729,76.0%,N/A,"$1,094 ","$3,021 ",1094,3021,44593,https://www.newamericaneconomy.org/locations/new-hampshire/
