statefip,id,StateName,fbpop,fbshare,fbage1664,entrp,voter,tottax$,tottax,sppower$,sppower,obs,MapSite
Alabama,01,Alabama,"174,357",3.5%,81.9%,"16,427","68,300","$1,399,268,682.43",1399.3,"$4,529,670,306.53",4529.7,1405.0,https://www.newamericaneconomy.org/locations/alabama/
Alaska,02,Alaska,"65,943",9.0%,79.3%, - ,"39,107","$465,126,986.97",465.1,"$1,855,684,862.35",1855.7,358.0,https://www.newamericaneconomy.org/locations/alaska/
Arizona,04,Arizona,"914,861",12.6%,79.5%,"74,532","434,136","$8,747,222,934.49",8747.2,"$26,426,254,502.15",26426.3,7741.0,https://www.newamericaneconomy.org/locations/arizona/
Arkansas,05,Arkansas,"145,762",4.8%,85.0%,"16,259","48,038","$1,298,450,794.78",1298.5,"$3,830,829,419.72",3830.8,1079.0,https://www.newamericaneconomy.org/locations/arkansas/
California,06,California,"10,468,272",26.7%,76.6%,"797,300","5,534,772","$137,522,311,332.37",137522.3,"$351,741,300,234.03",351741.3,98573.0,https://www.newamericaneconomy.org/locations/california/
Colorado,08,Colorado,"560,520",9.6%,82.6%,"46,941","260,481","$5,898,050,544.22",5898.1,"$17,432,277,465.47",17432.3,4155.0,https://www.newamericaneconomy.org/locations/colorado/
Connecticut,09,Connecticut,"551,176",15.3%,77.9%,"40,976","290,647","$8,142,153,463.30",8142.2,"$19,231,466,421.55",19231.5,4554.0,https://www.newamericaneconomy.org/locations/connecticut/
Delaware,10,Delaware,"100,840",10.0%,81.9%, - ,"53,794","$1,092,898,833.56",1092.9,"$3,603,155,877.10",3603.2,766.0,https://www.newamericaneconomy.org/locations/delaware/
District of Columbia,11,District of Columbia,"91,126",13.6%,80.8%,"6,455","42,768","$1,875,695,399.57",1875.7,"$4,357,730,442.92",4357.7,756.0,https://www.newamericaneconomy.org/locations/district-of-columbia/
Florida,12,Florida,"4,583,331",21.0%,73.1%,"469,001","2,662,686","$37,603,389,178.92",37603.4,"$125,698,839,141.65",125698.8,37875.0,https://www.newamericaneconomy.org/locations/florida/
Georgia,13,Georgia,"1,089,506",10.1%,82.6%,"105,374","523,486","$11,443,852,062.05",11443.9,"$32,571,678,855.75",32571.7,8688.0,https://www.newamericaneconomy.org/locations/georgia/
Hawaii,15,Hawaii,"263,904",18.3%,69.3%,"17,711","156,758","$2,674,494,431.23",2674.5,"$6,918,085,707.87",6918.1,2443.0,https://www.newamericaneconomy.org/locations/hawaii/
Idaho,16,Idaho,"117,074",6.2%,80.4%,"8,046","51,544","$1,048,910,774.26",1048.9,"$3,267,396,074.90",3267.4,711.0,https://www.newamericaneconomy.org/locations/alabama/
Illinois,17,Illinois,"1,805,424",14.2%,77.6%,"130,228","930,321","$21,760,560,429.79",21760.6,"$54,945,859,422.84",54945.9,13832.0,https://www.newamericaneconomy.org/locations/illinois/
Indiana,18,Indiana,"378,953",5.6%,82.7%,"22,845","155,505","$3,412,986,648.70",3413.0,"$10,052,325,953.84",10052.3,2593.0,https://www.newamericaneconomy.org/locations/indiana/
Iowa,19,Iowa,"170,118",5.3%,83.7%,"7,719","77,706","$1,732,959,349.11",1733.0,"$4,794,147,003.18",4794.1,1064.0,https://www.newamericaneconomy.org/locations/alabama/
Kansas,20,Kansas,"212,509",7.2%,85.9%,"12,904","89,500","$2,098,863,304.47",2098.9,"$5,820,840,831.23",5820.8,1409.0,https://www.newamericaneconomy.org/locations/kansas/
Kentucky,21,Kentucky,"181,707",4.0%,79.9%,"8,823","68,149","$1,423,619,995.04",1423.6,"$4,198,373,953.34",4198.4,1541.0,https://www.newamericaneconomy.org/locations/kentucky/
Louisiana,22,Louisiana,"199,008",4.3%,79.4%,"19,042","80,388","$1,551,373,332.97",1551.4,"$4,670,383,853.75",4670.4,1723.0,https://www.newamericaneconomy.org/locations/louisiana/
Maine,23,Maine,"51,867",3.8%,69.2%, - ,"25,977","$609,277,480.97",609.3,"$1,531,508,022.08",1531.5,440.0,https://www.newamericaneconomy.org/locations/maine/
Maryland,24,Maryland,"970,675",15.7%,79.5%,"80,512","514,679","$13,261,313,182.44",13261.3,"$33,078,999,855.15",33079.0,7983.0,https://www.newamericaneconomy.org/locations/maryland/
Massachusetts,25,Massachusetts,"1,227,816",17.6%,78.7%,"77,761","645,756","$17,188,608,492.40",17188.6,"$44,648,872,226.28",44648.9,10421.0,https://www.newamericaneconomy.org/locations/massachusetts/
Michigan,26,Michigan,"693,690",6.9%,78.6%,"40,081","386,944","$7,534,298,957.46",7534.3,"$21,574,293,827.66",21574.3,5212.0,https://www.newamericaneconomy.org/locations/michigan/
Minnesota,27,Minnesota,"501,318",8.8%,81.7%,"24,040","264,838","$5,159,011,681.85",5159.0,"$14,097,046,378.05",14097.0,2487.0,https://www.newamericaneconomy.org/locations/alabama/
Mississippi,28,Mississippi,"64,446",2.2%,82.2%,"5,764","26,140","$430,771,742.68",430.8,"$1,347,646,629.75",1347.6,632.0,https://www.newamericaneconomy.org/locations/mississippi/
Missouri,29,Missouri,"245,087",4.0%,81.0%,"15,560","117,791","$2,471,937,272.24",2471.9,"$7,143,323,116.69",7143.3,2024.0,https://www.newamericaneconomy.org/locations/missouri/
