statefip,id,StateName,Year,fbpop,fbshare,fbage1664,entrp,voter,tottax$,tottax,sppower$,sppower,obs,MapSite
Alabama,01,Alabama,2023,"202,857",4.0%,80.3%,"20,868","73,861","$2,200,486,155.51",2200.5,"$6,408,526,137.00",6408.5,1405.0,https://www.newamericaneconomy.org/locations/alabama/
Alaska,02,Alaska,2023,"54,123",7.4%,81.8%,-,"29,590","$522,258,863.26",522.3,"$1,831,944,146.00",1831.9,358.0,https://www.newamericaneconomy.org/locations/alaska/
Arizona,04,Arizona,2023,"984,220",13.2%,77.3%,"79,328","412,512","$11,050,412,058.88",11050.4,"$33,068,720,344.00",33068.7,7741.0,https://www.newamericaneconomy.org/locations/arizona/
Arkansas,05,Arkansas,2023,"160,995",5.2%,85.0%,"11,763","48,205","$1,496,658,806.35",1496.7,"$4,623,767,600.00",4623.8,1079.0,https://www.newamericaneconomy.org/locations/arkansas/
California,06,California,2023,"10,633,225",27.3%,75.4%,"880,887","5,239,875","$168,104,372,304.24",168104.4,"$404,445,114,750.00",404445.1,98573.0,https://www.newamericaneconomy.org/locations/california/
Colorado,08,Colorado,2023,"563,124",9.6%,82.2%,"45,373","235,147","$7,711,429,200.98",7711.4,"$21,311,264,182.00",21311.3,4155.0,https://www.newamericaneconomy.org/locations/colorado/
Connecticut,09,Connecticut,2023,"587,525",16.2%,76.5%,"47,414","305,334","$9,071,622,676.73",9071.6,"$21,660,378,544.00",21660.4,4554.0,https://www.newamericaneconomy.org/locations/connecticut/
Delaware,10,Delaware,2023,"118,923",11.5%,77.5%,"6,915","54,655","$1,394,326,823.92",1394.3,"$4,220,460,679.00",4220.5,766.0,https://www.newamericaneconomy.org/locations/delaware/
District of Columbia,11,District of Columbia,2023,"93,768",13.8%,83.0%,-,"44,071","$2,502,891,262.37",2502.9,"$5,110,109,334.00",5110.1,756.0,https://www.newamericaneconomy.org/locations/district-of-columbia/
Florida,12,Florida,2023,"4,988,231",22.1%,72.8%,"521,718","2,702,750","$49,761,404,376.46",49761.4,"$157,905,600,403.00",157905.6,37875.0,https://www.newamericaneconomy.org/locations/florida/
Georgia,13,Georgia,2023,"1,278,205",11.6%,82.0%,"124,360","570,481","$15,753,806,163.13",15753.8,"$44,029,205,556.00",44029.2,8688.0,https://www.newamericaneconomy.org/locations/georgia/
Hawaii,15,Hawaii,2023,"258,829",18.0%,69.9%,"20,350","161,271","$3,501,130,363.55",3501.1,"$8,116,541,232.00",8116.5,2443.0,https://www.newamericaneconomy.org/locations/hawaii/
Idaho,16,Idaho,2023,"112,757",5.7%,81.1%,"6,136","46,707","$853,698,069.31",853.7,"$2,894,863,930.00",2894.9,711.0,https://www.newamericaneconomy.org/locations/alabama/
Illinois,17,Illinois,2023,"1,880,469",15.0%,76.9%,"146,866","877,256","$27,433,180,971.05",27433.2,"$68,469,507,756.00",68469.5,13832.0,https://www.newamericaneconomy.org/locations/illinois/
Indiana,18,Indiana,2023,"426,541",6.2%,81.9%,"23,656","149,728","$4,100,364,015.24",4100.4,"$12,332,841,647.00",12332.8,2593.0,https://www.newamericaneconomy.org/locations/indiana/
Iowa,19,Iowa,2023,"187,254",5.8%,84.4%,"13,073","68,562","$1,768,673,312.53",1768.7,"$5,214,532,446.00",5214.5,1064.0,https://www.newamericaneconomy.org/locations/alabama/
Kansas,20,Kansas,2023,"209,675",7.1%,82.3%,"13,820","74,613","$2,179,763,208.19",2179.8,"$6,132,987,677.00",6133.0,1409.0,https://www.newamericaneconomy.org/locations/kansas/
